itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,city_type_city,city_type_suburb,city_type_rural,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Education,1%,<.5%,2%,0%,3%,0%,2%,1%,2%,1%,0%,<.5%,2%,<.5%,2%,0%,2%,<1%,2%,<1%,<1%,3%,<1%,2%,0%,<1%,<1%,<.5%,2%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Foreign policy,5%,5%,4%,6%,3%,4%,6%,5%,4%,5%,2%,4%,5%,5%,5%,3%,4%,5%,5%,3%,3%,6%,4%,3%,6%,6%,2%,6%,5%,3%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Russia/the war in Ukraine,<.5%,<.5%,<1%,0%,0%,0%,1%,<.5%,<1%,0%,0%,<.5%,<.5%,0%,<1%,<1%,0%,0%,<1%,0%,<1%,0%,<.5%,<1%,0%,0%,<1%,0%,<.5%,<1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] China,<.5%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Climate change,2%,3%,2%,3%,3%,3%,2%,3%,3%,<1%,0%,4%,1%,5%,1%,1%,2%,3%,3%,<1%,2%,3%,3%,4%,<1%,0%,5%,<.5%,2%,5%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Coronavirus,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] The state of democracy/corruption,7%,9%,7%,4%,7%,10%,7%,8%,5%,9%,9%,11%,5%,11%,6%,12%,5%,6%,8%,7%,5%,7%,9%,10%,5%,6%,10%,5%,9%,9%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Election integrity,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,0%,<1%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Equality/inequality,6%,4%,7%,8%,8%,3%,6%,5%,8%,8%,7%,6%,6%,5%,6%,9%,8%,10%,6%,4%,10%,5%,4%,9%,4%,6%,9%,1%,7%,10%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Polarization/division,7%,8%,6%,7%,7%,7%,8%,7%,10%,5%,11%,10%,5%,10%,4%,13%,6%,7%,7%,7%,7%,5%,10%,11%,3%,7%,10%,3%,9%,10%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Racism/racial issues,1%,1%,2%,1%,2%,2%,1%,1%,4%,0%,0%,2%,1%,2%,1%,2%,2%,2%,1%,2%,<.5%,3%,2%,3%,<.5%,1%,2%,<1%,2%,3%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Trump/Republicans,3%,4%,3%,0%,1%,3%,6%,4%,3%,2%,3%,5%,2%,5%,2%,6%,1%,3%,5%,<1%,3%,2%,4%,7%,0%,0%,7%,<1%,3%,7%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Biden/Biden administration/Democrats,5%,5%,4%,<1%,2%,7%,6%,6%,2%,1%,1%,2%,6%,2%,8%,0%,2%,3%,2%,8%,6%,4%,3%,1%,9%,1%,1%,10%,2%,1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] The Middle East/Israel/Palestinians,1%,<.5%,2%,3%,1%,<.5%,<1%,<1%,<1%,2%,2%,2%,<1%,1%,<1%,5%,<.5%,2%,1%,<.5%,<1%,1%,1%,1%,<.5%,4%,1%,0%,2%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Other (specify),4%,5%,3%,4%,5%,4%,3%,5%,1%,2%,3%,3%,4%,4%,5%,<1%,2%,3%,3%,5%,2%,3%,5%,2%,4%,11%,2%,5%,3%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,6%,4%,6%,10%,5%,3%,4%,4%,9%,4%,6%,3%,6%,2%,5%,4%,8%,6%,5%,7%,7%,3%,2%,6%,4%,10%,3%,3%,7%,5%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you approve or disapprove of the way Joe Biden is handling his job as president?FOLLOW UP:  Is that strongly or somewhat?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you approve or disapprove of the way Joe Biden is handling his job as president?FOLLOW UP:  Is that strongly or somewhat?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you approve or disapprove of the way Joe Biden is handling his job as president?FOLLOW UP:  Is that strongly or somewhat?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Strongly approve,12%,10%,13%,3%,7%,13%,22%,13%,19%,6%,3%,18%,8%,19%,8%,16%,8%,16%,14%,7%,13%,9%,15%,26%,<1%,<.5%,29%,<.5%,10%,25%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat approve,25%,22%,27%,23%,31%,20%,28%,21%,45%,29%,23%,29%,23%,28%,16%,30%,35%,31%,28%,16%,23%,29%,24%,49%,4%,12%,48%,6%,25%,46%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat disapprove,15%,16%,14%,26%,20%,12%,7%,13%,13%,16%,26%,16%,15%,14%,13%,20%,16%,16%,17%,11%,15%,16%,14%,16%,12%,20%,13%,11%,18%,16%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Strongly disapprove,43%,46%,41%,41%,38%,52%,41%,49%,17%,40%,41%,34%,49%,35%,59%,29%,33%,32%,33%,62%,46%,42%,43%,4%,81%,39%,7%,82%,42%,9%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,6%,5%,4%,7%,4%,4%,3%,3%,6%,8%,7%,4%,5%,4%,3%,6%,8%,4%,7%,4%,4%,4%,4%,4%,2%,29%,3%,<1%,5%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Approve,37%,32%,41%,26%,38%,32%,49%,34%,64%,35%,26%,47%,31%,47%,24%,46%,44%,47%,42%,23%,36%,39%,39%,75%,4%,12%,77%,6%,35%,72%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Disapprove,58%,63%,55%,67%,58%,63%,47%,63%,30%,56%,67%,49%,64%,49%,73%,48%,49%,49%,50%,73%,60%,57%,58%,21%,94%,59%,21%,93%,60%,24%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very favorable,24%,27%,22%,17%,18%,29%,26%,27%,6%,26%,20%,12%,31%,13%,37%,7%,22%,17%,15%,39%,29%,23%,20%,1%,49%,2%,3%,56%,14%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat favorable,19%,20%,18%,27%,20%,19%,12%,20%,9%,19%,20%,17%,20%,18%,22%,13%,17%,14%,19%,21%,20%,20%,18%,3%,35%,11%,7%,30%,19%,8%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat unfavorable,12%,13%,11%,18%,16%,9%,7%,10%,16%,14%,17%,12%,12%,9%,10%,20%,13%,15%,13%,8%,14%,12%,10%,10%,11%,23%,7%,5%,20%,10%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very unfavorable,43%,38%,47%,35%,43%,41%,51%,41%,63%,38%,41%,57%,34%,58%,29%,56%,44%,51%,49%,30%,37%,44%,50%,83%,3%,45%,83%,9%,44%,79%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Have not heard of,<.5%,<.5%,0%,0%,<1%,0%,0%,0%,1%,0%,0%,0%,<.5%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,3%,2%,3%,4%,2%,<1%,3%,2%,5%,3%,2%,2%,3%,2%,2%,3%,4%,2%,4%,3%,<1%,<1%,2%,2%,1%,18%,<.5%,<.5%,3%,1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Favorable,42%,47%,39%,44%,38%,48%,39%,48%,14%,45%,40%,29%,51%,31%,59%,20%,38%,31%,34%,60%,49%,43%,37%,5%,85%,13%,10%,86%,33%,9%
