itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,36%,46%,27%,19%,34%,44%,38%,44%,9%,26%,16%,29%,40%,33%,51%,18%,17%,36%,30%,39%,37%,24%,32%,49%,1%,74%,17%,3%,77%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,43%,34%,51%,42%,43%,41%,50%,38%,75%,43%,50%,56%,35%,55%,28%,60%,53%,43%,53%,36%,45%,55%,47%,30%,83%,8%,23%,83%,6%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",I did not vote,16%,13%,18%,35%,18%,12%,7%,13%,12%,25%,30%,9%,20%,7%,18%,13%,27%,16%,12%,18%,16%,15%,17%,15%,12%,15%,37%,12%,16%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else,2%,4%,2%,3%,4%,2%,<1%,3%,0%,4%,3%,3%,2%,3%,2%,5%,1%,2%,2%,3%,2%,2%,3%,2%,2%,2%,6%,<.5%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,2%,1%,0%,2%,4%,1%,4%,2%,1%,3%,2%,2%,1%,4%,2%,3%,2%,4%,<1%,3%,2%,3%,1%,<1%,17%,2%,<.5%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,43%,53%,33%,29%,42%,50%,41%,51%,10%,35%,23%,32%,51%,36%,62%,21%,23%,43%,35%,48%,44%,29%,38%,58%,1%,87%,26%,4%,91%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,51%,40%,62%,65%,53%,46%,54%,44%,85%,57%,71%,61%,44%,59%,34%,69%,72%,51%,61%,44%,53%,65%,56%,36%,95%,9%,37%,94%,7%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else,3%,4%,2%,4%,5%,2%,<1%,3%,0%,6%,4%,4%,3%,3%,3%,5%,2%,3%,3%,4%,2%,3%,3%,3%,2%,3%,10%,<1%,1%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,3%,2%,0%,2%,4%,2%,5%,2%,2%,3%,3%,2%,2%,5%,2%,3%,2%,5%,<1%,3%,3%,3%,2%,1%,27%,2%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,755,383,364,97,192,263,167,531,78,69,48,388,361,279,250,94,99,154,161,275,165,185,312,258,365,347,43,248,194,248
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,12%,22%,33%,28%,67%,11%,10%,7%,40%,58%,28%,39%,11%,17%,21%,21%,34%,23%,24%,42%,34%,47%,47%,6%,34%,26%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,16%,13%,18%,5%,8%,19%,28%,17%,18%,12%,10%,21%,13%,23%,13%,15%,13%,18%,19%,12%,16%,21%,16%,12%,33%,2%,0%,36%,2%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,22%,19%,25%,23%,29%,17%,20%,18%,35%,26%,30%,28%,19%,25%,14%,35%,28%,22%,24%,20%,23%,27%,25%,15%,42%,3%,18%,36%,3%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,12%,9%,16%,27%,13%,9%,6%,9%,15%,27%,18%,12%,13%,9%,9%,17%,22%,11%,16%,10%,14%,15%,12%,12%,14%,9%,20%,15%,7%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,47%,56%,38%,40%,47%,53%,43%,54%,27%,33%,36%,38%,53%,41%,62%,30%,33%,48%,40%,53%,44%,35%,45%,58%,7%,85%,53%,10%,86%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,3%,5%,2%,1%,3%,2%,6%,<1%,6%,2%,3%,2%,2%,3%,3%,2%,<1%,5%,2%,3%,3%,3%,4%,<1%,9%,3%,2%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,38%,33%,43%,28%,38%,36%,48%,35%,52%,38%,40%,49%,32%,48%,27%,50%,41%,39%,43%,32%,40%,48%,41%,27%,75%,5%,18%,72%,5%,35%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,59%,65%,54%,67%,60%,62%,49%,63%,42%,61%,54%,49%,66%,50%,70%,47%,55%,58%,56%,63%,59%,49%,57%,70%,21%,94%,73%,25%,93%,62%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very favorable,20%,23%,17%,11%,16%,21%,24%,23%,7%,18%,7%,14%,23%,16%,28%,6%,15%,21%,13%,23%,20%,14%,18%,25%,2%,40%,4%,3%,46%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat favorable,23%,28%,19%,24%,25%,25%,19%,24%,17%,24%,15%,18%,25%,20%,27%,16%,19%,22%,20%,27%,21%,19%,18%,32%,3%,43%,20%,6%,40%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat unfavorable,12%,13%,12%,22%,16%,11%,5%,11%,14%,15%,21%,12%,12%,10%,11%,19%,15%,12%,12%,12%,14%,12%,15%,8%,11%,12%,23%,9%,6%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very unfavorable,43%,34%,51%,42%,41%,40%,51%,40%,60%,41%,52%,55%,36%,54%,31%,59%,47%,45%,54%,34%,44%,53%,46%,33%,83%,3%,47%,81%,7%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of,<.5%,<.5%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<1%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,3%,<1%,2%,2%,2%,<1%,1%,3%,2%,4%,<.5%,3%,<.5%,2%,<1%,4%,<1%,1%,4%,<.5%,3%,2%,1%,1%,2%,6%,1%,1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Favorable,43%,51%,36%,35%,41%,46%,44%,48%,24%,42%,22%,32%,49%,35%,55%,22%,33%,43%,33%,50%,41%,33%,37%,58%,5%,83%,24%,9%,86%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Unfavorable,55%,46%,63%,64%,57%,51%,55%,51%,73%,56%,74%,67%,48%,64%,43%,78%,63%,56%,66%,46%,58%,65%,61%,41%,93%,15%,71%,90%,13%,59%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very favorable,15%,13%,18%,4%,7%,18%,30%,15%,19%,12%,18%,18%,15%,19%,13%,13%,18%,17%,20%,12%,15%,21%,16%,11%,32%,2%,<1%,38%,2%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat favorable,25%,20%,30%,33%,31%,21%,21%,19%,43%,41%,33%,32%,21%,30%,13%,40%,39%,23%,24%,22%,34%,33%,28%,16%,47%,5%,16%,43%,5%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat unfavorable,15%,14%,17%,27%,18%,11%,10%,14%,20%,16%,18%,16%,15%,15%,14%,19%,16%,17%,20%,13%,14%,15%,15%,16%,15%,14%,24%,12%,13%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very unfavorable,41%,49%,32%,33%,39%,48%,36%,48%,17%,29%,26%,33%,45%,36%,56%,26%,24%,40%,34%,49%,35%,29%,39%,52%,4%,76%,49%,5%,77%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of,<.5%,<.5%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<1%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,3%,3%,3%,2%,3%,3%,1%,2%,5%,<1%,4%,<1%,4%,2%,3%,4%,2%,4%,2%,3%,1%,5%,2%,3%,10%,1%,3%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Favorable,41%,34%,48%,37%,39%,39%,51%,34%,62%,53%,51%,50%,36%,49%,25%,53%,57%,39%,44%,34%,49%,54%,44%,27%,79%,7%,17%,82%,7%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Unfavorable,56%,63%,49%,60%,58%,60%,46%,63%,37%,45%,45%,49%,60%,50%,70%,45%,40%,57%,54%,62%,49%,43%,54%,67%,19%,90%,73%,17%,90%,64%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
