itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Another party,2%,2%,1%,4%,4%,<1%,<1%,1%,2%,3%,2%,2%,1%,2%,1%,3%,1%,3%,1%,1%,1%,2%,2%,2%,<1%,2%,3%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,4%,5%,2%,3%,3%,3%,<1%,7%,0%,2%,4%,2%,3%,2%,4%,4%,3%,5%,1%,3%,3%,3%,<1%,3%,19%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,37%,39%,36%,21%,31%,47%,37%,45%,5%,22%,31%,29%,43%,34%,53%,18%,18%,42%,33%,40%,33%,23%,31%,52%,<.5%,76%,11%,3%,80%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,47%,45%,49%,48%,48%,42%,53%,43%,77%,48%,52%,60%,39%,58%,33%,65%,55%,41%,54%,42%,53%,62%,51%,34%,90%,10%,31%,91%,9%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",I did not vote,11%,11%,10%,27%,15%,6%,6%,7%,15%,22%,13%,7%,12%,5%,9%,13%,20%,11%,10%,11%,10%,11%,13%,8%,9%,10%,22%,6%,9%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else,2%,3%,2%,2%,4%,2%,<.5%,2%,1%,3%,3%,2%,2%,2%,2%,2%,3%,4%,<1%,<1%,3%,<.5%,2%,3%,<1%,1%,13%,<1%,<1%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,3%,2%,3%,3%,4%,2%,2%,6%,3%,2%,4%,<1%,3%,2%,5%,1%,2%,6%,2%,4%,3%,3%,0%,3%,22%,0%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,42%,43%,40%,29%,36%,50%,39%,49%,5%,28%,35%,31%,49%,36%,58%,20%,22%,47%,37%,44%,37%,26%,36%,56%,<.5%,84%,15%,3%,88%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,53%,50%,55%,66%,56%,45%,56%,46%,91%,61%,59%,65%,44%,61%,36%,75%,68%,46%,60%,48%,59%,69%,59%,37%,99%,11%,40%,96%,9%,56%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else,2%,3%,2%,3%,5%,2%,<.5%,2%,1%,4%,3%,2%,3%,2%,2%,2%,3%,5%,<1%,<1%,3%,<.5%,3%,3%,<1%,2%,16%,<1%,<1%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,3%,4%,3%,3%,3%,4%,3%,3%,7%,3%,2%,5%,<1%,4%,2%,6%,2%,2%,7%,2%,4%,3%,4%,0%,3%,29%,0%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,685,349,328,85,162,252,153,467,67,86,49,343,340,239,227,96,106,146,144,234,161,152,289,244,304,331,50,219,203,221
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,52%,10%,21%,35%,29%,72%,10%,11%,6%,41%,58%,29%,43%,11%,15%,21%,20%,34%,24%,20%,42%,38%,45%,48%,7%,33%,32%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the 2024 presidential primaries and caucuses did you or do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the 2024 presidential primaries and caucuses did you or do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the 2024 presidential primaries and caucuses did you or do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Democratic primary,31%,25%,36%,35%,29%,28%,34%,26%,63%,33%,32%,37%,27%,34%,20%,43%,44%,22%,31%,29%,40%,41%,35%,20%,63%,4%,9%,75%,2%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Republican primary,38%,38%,38%,26%,32%,44%,40%,45%,15%,25%,30%,33%,41%,38%,49%,24%,22%,40%,30%,44%,34%,25%,35%,49%,8%,68%,22%,6%,78%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Unlikely to vote in primary or caucus,23%,28%,18%,30%,29%,22%,18%,22%,14%,29%,30%,23%,23%,22%,23%,25%,22%,29%,30%,18%,19%,28%,22%,22%,22%,20%,43%,15%,14%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,8%,8%,8%,9%,9%,7%,8%,7%,7%,12%,8%,7%,9%,6%,8%,8%,11%,8%,9%,9%,7%,7%,8%,9%,6%,7%,25%,4%,6%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,76%,77%,74%,82%,75%,77%,70%,76%,87%,78%,60%,61%,84%,56%,85%,80%,72%,84%,80%,75%,67%,75%,73%,79%,6%,88%,0%,71%,83%,62%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Nikki Haley,21%,19%,23%,13%,21%,20%,28%,21%,6%,22%,33%,37%,13%,42%,11%,20%,22%,13%,18%,24%,27%,23%,24%,18%,88%,11%,74%,29%,16%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else (specify),1%,1%,1%,4%,0%,<1%,<1%,<1%,0%,0%,7%,1%,<1%,2%,<1%,0%,3%,0%,0%,<1%,4%,2%,2%,0%,6%,<.5%,6%,0%,<.5%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,2%,1%,2%,4%,2%,<.5%,2%,7%,0%,0%,0%,3%,0%,3%,0%,3%,3%,2%,1%,1%,0%,<1%,3%,0%,<1%,20%,0%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,292,155,134,30,59,115,71,220,15,32,17,120,170,91,128,26,38,62,44,119,67,47,108,137,28,250,14,13,181,79
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,9%,19%,38%,29%,81%,4%,8%,5%,35%,64%,27%,53%,7%,10%,23%,16%,40%,22%,13%,40%,48%,10%,86%,5%,5%,65%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  If the election for Democratic nominee for president were held today, which candidate would you be most likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  If the election for Democratic nominee for president were held today, which candidate would you be most likely to vote for?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  If the election for Democratic nominee for president were held today, which candidate would you be most likely to vote for?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,79%,84%,75%,80%,69%,86%,77%,80%,77%,80%,77%,79%,79%,79%,80%,77%,79%,60%,81%,80%,86%,82%,78%,78%,84%,25%,22%,86%,0%,60%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Marianne Williamson *,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Dean Phillips,10%,9%,11%,18%,16%,6%,6%,10%,11%,9%,5%,12%,8%,16%,4%,4%,13%,17%,11%,9%,7%,14%,8%,9%,8%,40%,21%,6%,40%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else (specify),1%,1%,2%,1%,4%,1%,0%,0%,<1%,0%,18%,3%,<.5%,0%,0%,7%,<1%,0%,2%,<1%,2%,<1%,3%,0%,<.5%,7%,33%,2%,0%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,10%,6%,12%,<1%,12%,6%,17%,10%,11%,11%,0%,7%,12%,4%,16%,12%,7%,22%,6%,11%,5%,4%,11%,12%,8%,28%,24%,6%,60%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,224,88,133,41,50,73,52,128,44,33,17,126,98,81,47,44,50,36,56,67,65,63,108,53,201,17,6,170,3,46
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,39%,60%,14%,21%,30%,31%,58%,21%,13%,7%,48%,52%,30%,28%,17%,24%,16%,21%,32%,32%,27%,49%,25%,91%,6%,2%,76%,2%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  Regardless of who you prefer in the Democratic primary, do you think Joe Biden should be the Democratic Party’s nominee for president in 2024, or should there be a different Democratic nominee for president in 2024?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  Regardless of who you prefer in the Democratic primary, do you think Joe Biden should be the Democratic Party’s nominee for president in 2024, or should there be a different Democratic nominee for president in 2024?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  Regardless of who you prefer in the Democratic primary, do you think Joe Biden should be the Democratic Party’s nominee for president in 2024, or should there be a different Democratic nominee for president in 2024?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden should be the Democratic nominee,48%,50%,46%,31%,24%,65%,54%,49%,52%,43%,38%,44%,52%,48%,51%,39%,53%,32%,49%,46%,56%,38%,47%,60%,52%,9%,0%,53%,0%,34%
