itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,"Yes, the Democratic Party has solutions",74%,78%,72%,69%,66%,70%,91%,-,74%,69%,76%,-,-,69%,76%,82%,74%,71%,78%,79%,61%,24%,85%,67%,50%,80%,78%,52%,NA,NA
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,"No, the Democratic Party does not have solutions",21%,21%,21%,26%,30%,25%,4%,-,21%,29%,18%,-,-,29%,18%,18%,20%,22%,21%,17%,39%,54%,10%,33%,45%,16%,22%,40%,NA,NA
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,[VOL] Don’t know/Refused,5%,1%,7%,5%,4%,5%,5%,-,5%,2%,6%,-,-,2%,6%,0%,5%,6%,<1%,4%,<1%,21%,5%,0%,6%,5%,0%,7%,NA,NA
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Democratic Party has solutions to help address the obstacles that Black people face?,Number of respondents,325,127,195,71,68,117,60,,325,136,188,,,136,188,37,59,208,21,271,33,21,199,11,94,238,14,64,NA,NA
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Republican Party has solutions to help address the obstacles that Black people face?,"Yes, the Republican Party has solutions",21%,23%,20%,24%,14%,23%,21%,-,21%,12%,25%,-,-,12%,25%,21%,21%,18%,33%,14%,71%,26%,12%,74%,22%,17%,76%,19%,NA,NA
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Republican Party has solutions to help address the obstacles that Black people face?,"No, the Republican Party does not have solutions",77%,76%,78%,74%,84%,74%,79%,-,77%,87%,73%,-,-,87%,73%,79%,76%,79%,67%,85%,29%,62%,87%,26%,76%,81%,24%,79%,NA,NA
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Republican Party has solutions to help address the obstacles that Black people face?,[VOL] Don’t know/Refused,2%,1%,2%,2%,2%,2%,<.5%,-,2%,1%,2%,-,-,1%,2%,0%,3%,2%,0%,1%,0%,12%,2%,0%,2%,2%,0%,3%,NA,NA
(Ask of Black respondents who said there are still significant obstacles)  Do you think the Republican Party has solutions to help address the obstacles that Black people face?,Number of respondents,325,127,195,71,68,117,60,,325,136,188,,,136,188,37,59,208,21,271,33,21,199,11,94,238,14,64,NA,NA
Building a wall along the U.S.-Mexico border,Strongly support,41%,48%,36%,21%,33%,48%,48%,47%,26%,28%,51%,31%,59%,20%,29%,42%,39%,46%,35%,8%,78%,36%,9%,77%,38%,8%,83%,32%,NA,NA
Building a wall along the U.S.-Mexico border,Somewhat support,13%,15%,12%,14%,16%,14%,10%,12%,16%,15%,12%,14%,10%,15%,16%,12%,14%,14%,13%,13%,13%,17%,11%,13%,16%,14%,10%,18%,NA,NA
Building a wall along the U.S.-Mexico border,Somewhat oppose,16%,14%,17%,20%,20%,12%,15%,14%,20%,19%,13%,19%,10%,20%,20%,12%,17%,16%,16%,26%,4%,23%,27%,5%,17%,24%,4%,21%,NA,NA
Building a wall along the U.S.-Mexico border,Strongly oppose,27%,22%,31%,45%,28%,23%,24%,25%,34%,36%,21%,34%,18%,42%,29%,30%,27%,21%,34%,50%,4%,10%,51%,5%,26%,51%,2%,26%,NA,NA
Building a wall along the U.S.-Mexico border,[VOL] Don't know/Refused,3%,1%,4%,<1%,3%,3%,3%,2%,4%,2%,3%,2%,2%,3%,5%,3%,3%,3%,2%,3%,1%,14%,2%,1%,2%,3%,1%,3%,NA,NA
Building a wall along the U.S.-Mexico border,NET Support,55%,63%,48%,34%,49%,62%,58%,59%,42%,43%,63%,45%,70%,35%,46%,54%,53%,60%,48%,21%,91%,53%,20%,89%,55%,22%,93%,50%,NA,NA
Building a wall along the U.S.-Mexico border,NET Oppose,43%,36%,48%,65%,48%,35%,39%,38%,54%,55%,34%,53%,28%,62%,49%,43%,45%,37%,50%,76%,8%,33%,78%,10%,43%,75%,6%,47%,NA,NA
Building a wall along the U.S.-Mexico border,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Strongly support,30%,26%,33%,39%,31%,26%,30%,27%,37%,36%,26%,36%,21%,38%,36%,31%,30%,25%,38%,48%,11%,18%,53%,13%,25%,49%,10%,27%,NA,NA
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Somewhat support,27%,27%,27%,34%,32%,27%,21%,26%,29%,29%,26%,28%,25%,30%,29%,24%,29%,25%,30%,36%,17%,34%,32%,17%,32%,36%,16%,34%,NA,NA
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Somewhat oppose,14%,14%,14%,11%,13%,14%,16%,14%,13%,14%,14%,15%,14%,12%,14%,12%,14%,18%,9%,9%,19%,13%,8%,18%,17%,10%,19%,13%,NA,NA
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Strongly oppose,26%,30%,22%,13%,23%,30%,27%,29%,17%,19%,30%,19%,35%,18%,17%,29%,25%,28%,19%,5%,49%,21%,5%,49%,24%,5%,51%,21%,NA,NA
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,[VOL] Don't know/Refused,3%,3%,4%,2%,1%,3%,6%,3%,3%,2%,4%,2%,4%,3%,4%,4%,2%,3%,4%,2%,4%,14%,2%,3%,2%,1%,4%,4%,NA,NA
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,NET Support,57%,53%,60%,73%,62%,53%,51%,54%,66%,64%,52%,64%,47%,68%,65%,54%,59%,50%,68%,84%,28%,52%,85%,30%,57%,84%,26%,61%,NA,NA
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,NET Oppose,40%,44%,36%,25%,36%,44%,43%,43%,30%,33%,44%,34%,49%,29%,31%,41%,39%,46%,28%,14%,68%,34%,13%,67%,41%,15%,70%,34%,NA,NA
Providing a pathway to citizenship for all undocumented immigrants currently living in the United States,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,I feel like he is talking about me,34%,33%,33%,29%,30%,36%,39%,39%,32%,41%,30%,66%,25%,37%,29%,48%,36%,31%,33%,37%,28%,39%,39%,25%,33%,36%,35%,25%,NA,NA
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,I do not feel like he is talking about me,62%,62%,63%,71%,65%,59%,53%,57%,64%,54%,66%,33%,71%,58%,67%,43%,56%,65%,65%,60%,69%,43%,59%,71%,64%,61%,63%,70%,NA,NA
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,[VOL] Don’t know/Refused,4%,4%,4%,0%,5%,4%,8%,3%,4%,5%,4%,2%,4%,6%,4%,9%,7%,4%,2%,3%,3%,18%,2%,4%,3%,3%,2%,6%,NA,NA
(Ask of Hispanic respondents)  Which of the following comes closer to your view when Donald Trump talks about problems with immigration?,Number of respondents,684,325,354,200,161,215,81,68,610,249,430,23,44,224,382,51,92,327,214,369,281,34,266,168,190,293,150,222,NA,NA
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system does not need changes,2%,4%,1%,1%,1%,3%,3%,2%,3%,2%,3%,2%,2%,1%,4%,2%,4%,3%,<.5%,2%,2%,4%,2%,2%,4%,2%,3%,2%,NA,NA
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs minor changes,26%,32%,22%,20%,22%,25%,34%,27%,23%,32%,22%,33%,23%,28%,21%,28%,29%,22%,30%,32%,22%,16%,31%,24%,26%,31%,21%,26%,NA,NA
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs major changes,59%,54%,64%,61%,63%,60%,55%,60%,59%,57%,60%,58%,60%,57%,60%,55%,54%,63%,61%,57%,61%,60%,58%,60%,59%,57%,63%,59%,NA,NA
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs to be torn down entirely,11%,10%,11%,16%,14%,12%,5%,10%,14%,7%,13%,5%,13%,13%,15%,13%,11%,11%,8%,8%,14%,9%,8%,12%,11%,9%,13%,12%,NA,NA
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",[VOL] Don't know/Refused,1%,<1%,2%,1%,<.5%,<1%,2%,1%,1%,<1%,1%,1%,1%,<1%,1%,3%,<1%,<1%,1%,<1%,<1%,10%,1%,<1%,<.5%,<1%,<1%,1%,NA,NA
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",Crime in big cities has gotten out of control,50%,52%,49%,38%,46%,52%,55%,50%,49%,38%,59%,36%,60%,42%,54%,49%,45%,56%,46%,26%,76%,55%,28%,74%,47%,26%,78%,52%,NA,NA
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?","Crime is a major problem in big cities, but it’s not out of control",38%,37%,38%,51%,41%,36%,34%,37%,40%,47%,32%,48%,29%,44%,38%,37%,43%,34%,40%,56%,19%,28%,56%,20%,39%,56%,18%,37%,NA,NA
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",Crime is not a major problem in big cities,9%,10%,8%,8%,11%,9%,8%,9%,8%,12%,7%,12%,7%,11%,6%,10%,9%,7%,11%,15%,3%,3%,14%,3%,11%,16%,2%,7%,NA,NA
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",[VOL] Don't know/Refused,3%,2%,4%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,4%,3%,3%,3%,3%,3%,13%,2%,3%,3%,3%,2%,4%,NA,NA
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",People who are offended by Donald Trump take his words too seriously,41%,50%,33%,28%,40%,48%,39%,44%,33%,30%,49%,30%,54%,27%,37%,41%,34%,47%,38%,8%,78%,32%,10%,73%,38%,9%,79%,38%,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",People have good reason to be offended by Donald Trump’s words,54%,46%,62%,70%,53%,50%,56%,52%,63%,67%,46%,67%,41%,69%,59%,54%,61%,48%,59%,91%,16%,44%,89%,22%,57%,90%,16%,53%,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,4%,4%,5%,2%,7%,2%,5%,4%,4%,3%,5%,3%,5%,4%,5%,5%,4%,5%,3%,<1%,6%,24%,<1%,5%,5%,<1%,5%,9%,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Strongly support,33%,39%,28%,17%,27%,39%,37%,38%,20%,24%,40%,25%,47%,19%,20%,34%,31%,37%,28%,8%,61%,29%,8%,59%,31%,8%,65%,22%,NA,NA
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Somewhat support,24%,26%,23%,25%,24%,25%,23%,25%,23%,25%,24%,27%,24%,23%,23%,23%,25%,24%,24%,24%,25%,21%,21%,26%,27%,25%,23%,30%,NA,NA
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Somewhat oppose,18%,15%,19%,27%,20%,16%,15%,15%,25%,22%,15%,20%,12%,31%,21%,17%,17%,17%,19%,29%,6%,15%,29%,6%,19%,28%,4%,24%,NA,NA
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Strongly oppose,18%,14%,22%,28%,22%,15%,16%,16%,25%,22%,15%,23%,11%,21%,26%,17%,19%,16%,22%,33%,4%,9%,36%,4%,15%,33%,3%,18%,NA,NA
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,[VOL] Don't know/Refused,7%,6%,7%,3%,7%,6%,8%,6%,8%,6%,7%,5%,6%,6%,9%,8%,8%,6%,7%,7%,5%,25%,6%,4%,8%,6%,5%,6%,NA,NA
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,NET Support,57%,65%,51%,42%,51%,64%,61%,63%,43%,49%,63%,52%,71%,42%,43%,58%,56%,61%,52%,32%,86%,51%,29%,85%,58%,33%,88%,52%,NA,NA
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,NET Oppose,36%,30%,41%,55%,42%,31%,31%,31%,49%,45%,30%,43%,23%,52%,47%,34%,36%,33%,41%,62%,9%,25%,65%,11%,34%,61%,7%,42%,NA,NA
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
Has Donald Trump ever said anything that you found offensive?,"Yes, recently",46%,40%,51%,40%,46%,45%,50%,44%,51%,59%,37%,60%,32%,58%,48%,45%,54%,40%,48%,81%,7%,45%,79%,13%,48%,81%,10%,35%,NA,NA
Has Donald Trump ever said anything that you found offensive?,"Yes, but not recently",23%,23%,23%,31%,24%,23%,21%,24%,22%,21%,25%,20%,27%,23%,22%,23%,16%,24%,28%,13%,35%,15%,14%,31%,25%,13%,33%,29%,NA,NA
Has Donald Trump ever said anything that you found offensive?,No,29%,35%,24%,29%,30%,31%,25%,31%,24%,18%,36%,19%,40%,17%,29%,29%,28%,33%,23%,4%,56%,29%,5%,53%,26%,4%,56%,35%,NA,NA
Has Donald Trump ever said anything that you found offensive?,[VOL] Don’t know/Refused,2%,2%,2%,<1%,<.5%,<1%,5%,2%,2%,2%,2%,1%,2%,3%,1%,2%,2%,2%,2%,1%,2%,11%,2%,2%,1%,2%,2%,<1%,NA,NA
Has Donald Trump ever said anything that you found offensive?,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Often,51%,48%,53%,58%,57%,50%,42%,49%,54%,38%,59%,35%,59%,46%,59%,50%,41%,56%,51%,34%,69%,55%,33%,66%,50%,32%,68%,62%,NA,NA
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Sometimes,23%,22%,24%,24%,20%,24%,27%,24%,23%,28%,21%,29%,20%,26%,21%,25%,29%,20%,21%,28%,18%,21%,30%,18%,22%,29%,19%,22%,NA,NA
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Rarely,12%,13%,11%,9%,12%,11%,13%,12%,11%,17%,8%,19%,7%,14%,9%,13%,12%,11%,11%,17%,6%,10%,16%,7%,13%,18%,6%,8%,NA,NA
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Never,13%,16%,10%,7%,11%,15%,15%,14%,11%,17%,11%,18%,12%,14%,9%,9%,16%,12%,15%,20%,6%,7%,19%,8%,14%,21%,6%,6%,NA,NA
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",[VOL] Don't know/Refused,1%,<1%,2%,2%,<.5%,<.5%,3%,1%,<1%,<.5%,2%,<.5%,2%,0%,2%,2%,1%,<1%,2%,<1%,<1%,7%,1%,<1%,<1%,<1%,<1%,2%,NA,NA
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",Voted more for Democrats,36%,29%,42%,46%,38%,32%,36%,30%,53%,44%,31%,41%,22%,55%,51%,33%,43%,31%,41%,67%,5%,15%,82%,3%,28%,72%,3%,26%,NA,NA
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",Voted more for Republicans,31%,36%,28%,18%,29%,38%,32%,39%,13%,25%,36%,30%,45%,9%,16%,32%,23%,38%,28%,6%,61%,16%,2%,71%,20%,5%,67%,16%,NA,NA
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",More of a mix,29%,31%,27%,21%,29%,29%,30%,28%,29%,29%,29%,27%,29%,35%,26%,31%,29%,28%,28%,24%,32%,49%,14%,24%,48%,23%,30%,37%,NA,NA
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",[VOL] Don’t know/Refused,4%,4%,4%,14%,4%,<1%,2%,3%,5%,2%,5%,2%,4%,2%,7%,4%,4%,3%,4%,3%,3%,19%,2%,2%,5%,<.5%,<.5%,21%,NA,NA
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
(Ask of Hispanic respondents)  What’s your family’s national origin?,Mexican,45%,45%,44%,53%,39%,43%,48%,29%,48%,44%,45%,26%,31%,47%,49%,58%,9%,36%,62%,47%,43%,37%,50%,41%,44%,47%,38%,51%,NA,NA
(Ask of Hispanic respondents)  What’s your family’s national origin?,Cuban,7%,6%,8%,11%,3%,4%,7%,17%,6%,7%,7%,14%,18%,6%,6%,1%,3%,13%,3%,7%,7%,9%,8%,11%,4%,4%,14%,6%,NA,NA
(Ask of Hispanic respondents)  What’s your family’s national origin?,Puerto Rican,10%,11%,10%,6%,17%,13%,3%,6%,11%,14%,9%,11%,3%,13%,10%,4%,25%,13%,4%,11%,10%,3%,8%,15%,12%,11%,9%,11%,NA,NA
(Ask of Hispanic respondents)  What’s your family’s national origin?,Dominican,3%,3%,3%,2%,5%,2%,3%,3%,3%,2%,3%,0%,4%,2%,3%,0%,14%,2%,<1%,2%,4%,3%,3%,2%,4%,3%,1%,3%,NA,NA
(Ask of Hispanic respondents)  What’s your family’s national origin?,Central American,9%,8%,9%,10%,9%,9%,4%,5%,10%,7%,9%,10%,1%,7%,10%,14%,17%,8%,6%,9%,8%,11%,10%,4%,11%,9%,9%,10%,NA,NA
(Ask of Hispanic respondents)  What’s your family’s national origin?,[VOL] South American,5%,5%,5%,4%,7%,6%,3%,7%,5%,6%,5%,6%,8%,7%,4%,0%,13%,7%,2%,6%,4%,1%,5%,4%,5%,7%,3%,5%,NA,NA
(Ask of Hispanic respondents)  What’s your family’s national origin?,[VOL] Spanish,4%,4%,5%,2%,2%,8%,5%,6%,4%,6%,3%,7%,5%,6%,3%,3%,3%,2%,7%,2%,9%,0%,2%,7%,7%,2%,10%,2%,NA,NA
(Ask of Hispanic respondents)  What’s your family’s national origin?,Or is your heritage from other country (Specify) (Includes multiple origins),12%,12%,9%,9%,10%,9%,25%,12%,10%,8%,13%,10%,12%,8%,11%,10%,9%,12%,12%,11%,9%,29%,10%,10%,7%,13%,9%,5%,NA,NA
(Ask of Hispanic respondents)  What’s your family’s national origin?,[VOL] Don’t know/Refused,5%,5%,5%,3%,8%,5%,3%,17%,3%,6%,5%,16%,17%,4%,3%,10%,6%,6%,3%,4%,6%,7%,5%,6%,6%,4%,7%,6%,NA,NA
(Ask of Hispanic respondents)  What’s your family’s national origin?,Number of respondents,684,325,354,200,161,215,81,68,610,249,430,23,44,224,382,51,92,327,214,369,281,34,266,168,190,293,150,222,NA,NA
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",United States,71%,69%,72%,91%,81%,60%,58%,80%,69%,75%,70%,94%,73%,72%,69%,84%,66%,71%,71%,69%,76%,65%,68%,71%,76%,70%,71%,73%,NA,NA
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",Puerto Rico,3%,3%,4%,<1%,2%,7%,3%,<1%,4%,2%,4%,0%,1%,3%,5%,1%,5%,6%,<.5%,3%,4%,2%,2%,7%,3%,3%,6%,1%,NA,NA
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",Another country,25%,28%,23%,8%,15%,34%,39%,19%,26%,21%,26%,6%,26%,24%,26%,15%,29%,22%,28%,27%,19%,34%,29%,21%,20%,26%,23%,26%,NA,NA
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",[VOL] Don't know/Refused,<1%,<.5%,1%,<.5%,2%,0%,<.5%,<.5%,<1%,<1%,<.5%,0%,0%,1%,<1%,0%,0%,<1%,<1%,<1%,<1%,0%,<1%,1%,<.5%,<1%,1%,<.5%,NA,NA
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,0,26%,29%,25%,33%,21%,26%,18%,5%,31%,25%,27%,3%,7%,31%,30%,17%,30%,24%,30%,29%,22%,25%,28%,30%,22%,29%,18%,32%,NA,NA
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,1,16%,10%,19%,22%,17%,10%,9%,12%,17%,19%,14%,10%,14%,22%,14%,16%,26%,14%,14%,16%,14%,19%,17%,11%,18%,15%,12%,18%,NA,NA
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,2,57%,60%,56%,45%,62%,62%,69%,81%,52%,53%,59%,87%,77%,45%,55%,67%,36%,62%,56%,53%,63%,56%,53%,59%,60%,54%,70%,50%,NA,NA
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,[VOL] Don't know/Refused,<1%,<1%,1%,0%,0%,<1%,5%,1%,<1%,2%,<1%,0%,3%,2%,<.5%,0%,7%,0%,<.5%,1%,<1%,0%,2%,0%,0%,2%,0%,0%,NA,NA
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,"Yes, Spanish",60%,57%,61%,57%,58%,63%,61%,22%,67%,59%,60%,24%,21%,66%,67%,41%,68%,62%,58%,63%,54%,58%,63%,62%,56%,65%,45%,67%,NA,NA
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,"Yes, another language",5%,7%,3%,3%,3%,5%,4%,12%,4%,6%,4%,<1%,18%,8%,2%,6%,6%,3%,6%,4%,6%,7%,5%,5%,4%,3%,10%,2%,NA,NA
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,No,35%,36%,35%,40%,39%,32%,35%,66%,29%,34%,36%,75%,61%,25%,31%,53%,26%,34%,36%,33%,39%,35%,32%,33%,40%,32%,44%,30%,NA,NA
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,[VOL] Don't know/Refused,<.5%,0%,<.5%,0%,<1%,0%,0%,0%,<.5%,<1%,0%,0%,0%,<1%,0%,0%,0%,<1%,0%,0%,<1%,0%,0%,1%,0%,0%,<1%,0%,NA,NA
Are you personally a small-business owner?,Yes,19%,24%,16%,9%,23%,24%,15%,19%,19%,21%,18%,21%,18%,22%,18%,15%,17%,23%,20%,15%,25%,14%,14%,24%,21%,16%,25%,13%,NA,NA
Are you personally a small-business owner?,No,80%,76%,84%,91%,77%,76%,85%,81%,81%,79%,81%,79%,82%,77%,82%,84%,83%,77%,80%,85%,75%,86%,86%,76%,79%,84%,75%,87%,NA,NA
Are you personally a small-business owner?,[VOL] Don't know/Refused,<.5%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<1%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,0%,NA,NA
What single news source do you turn to most often?,[VOL] Social media,22%,24%,20%,45%,31%,18%,8%,19%,30%,17%,25%,14%,22%,27%,33%,17%,18%,22%,29%,18%,25%,19%,17%,25%,23%,17%,23%,37%,NA,NA
What single news source do you turn to most often?,[VOL] Fox News,13%,16%,12%,8%,8%,16%,17%,16%,7%,9%,17%,11%,20%,4%,9%,13%,13%,16%,10%,1%,27%,10%,1%,30%,10%,1%,29%,8%,NA,NA
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",13%,10%,14%,4%,6%,12%,22%,13%,13%,12%,12%,12%,13%,12%,12%,15%,14%,10%,13%,18%,7%,10%,20%,8%,10%,18%,7%,9%,NA,NA
What single news source do you turn to most often?,[VOL] CNN,7%,5%,9%,6%,7%,9%,8%,6%,12%,12%,4%,10%,3%,18%,9%,7%,8%,8%,6%,13%,1%,4%,15%,2%,6%,14%,1%,5%,NA,NA
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",7%,7%,7%,8%,11%,6%,5%,8%,4%,13%,3%,15%,4%,8%,2%,7%,11%,5%,7%,12%,3%,1%,11%,2%,8%,12%,2%,5%,NA,NA
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",6%,4%,8%,4%,4%,7%,8%,6%,6%,3%,8%,3%,9%,3%,7%,12%,5%,4%,5%,6%,6%,10%,7%,6%,5%,6%,6%,5%,NA,NA
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,4%,3%,4%,3%,5%,4%,3%,4%,2%,7%,2%,8%,2%,4%,1%,6%,3%,3%,5%,7%,<1%,2%,7%,1%,5%,7%,<1%,2%,NA,NA
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",4%,4%,3%,4%,5%,4%,2%,4%,3%,3%,4%,4%,4%,3%,4%,3%,4%,4%,4%,4%,3%,5%,3%,2%,5%,4%,2%,5%,NA,NA
What single news source do you turn to most often?,[VOL] MSNBC,2%,2%,3%,<1%,<1%,2%,5%,2%,3%,3%,2%,2%,2%,4%,3%,1%,4%,3%,2%,5%,<.5%,<.5%,5%,<.5%,2%,5%,<.5%,<1%,NA,NA
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,3%,2%,3%,2%,2%,2%,2%,2%,3%,1%,3%,1%,3%,1%,1%,2%,2%,3%,3%,<1%,5%,2%,1%,3%,3%,1%,2%,NA,NA
What single news source do you turn to most often?,[VOL] Conservative news sites,2%,2%,1%,2%,2%,2%,<1%,2%,<1%,1%,2%,2%,2%,<1%,<1%,<1%,1%,2%,1%,<.5%,3%,0%,<.5%,3%,2%,<.5%,3%,1%,NA,NA
