itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_austin,region_dallas_ft_worth,region_houston,region_rest,region_san_antonio_south,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system does not need changes,3%,5%,<.5%,<1%,5%,<1%,4%,2%,1%,3%,7%,2%,3%,3%,3%,3%,2%,2%,4%,2%,5%,0%,4%,2%,3%,1%,12%,2%,1%,5%
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs minor changes,26%,29%,23%,24%,16%,21%,37%,27%,30%,17%,34%,27%,24%,32%,21%,34%,22%,29%,22%,24%,35%,31%,19%,20%,32%,21%,18%,25%,26%,30%
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs major changes,58%,55%,61%,59%,54%,66%,54%,60%,43%,66%,45%,60%,55%,54%,61%,57%,63%,50%,57%,66%,45%,55%,64%,66%,51%,68%,34%,57%,63%,54%
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs to be torn down entirely,12%,10%,15%,16%,23%,11%,5%,10%,19%,15%,14%,10%,16%,10%,14%,6%,13%,16%,16%,8%,14%,11%,13%,12%,14%,9%,25%,15%,10%,10%
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",[VOL] Don't know/Refused,<1%,<1%,<.5%,<.5%,2%,1%,<.5%,<.5%,6%,0%,0%,<.5%,2%,1%,<1%,<.5%,<1%,3%,<1%,0%,<1%,3%,<1%,0%,<1%,0%,12%,1%,0%,<1%
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",Crime in big cities has gotten out of control,58%,58%,59%,46%,55%,62%,66%,63%,43%,60%,46%,63%,52%,45%,67%,47%,75%,41%,58%,36%,47%,64%,71%,53%,33%,82%,47%,34%,78%,58%
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?","Crime is a major problem in big cities, but it’s not out of control",32%,32%,32%,45%,33%,28%,24%,28%,44%,32%,42%,28%,37%,43%,24%,42%,17%,46%,32%,44%,43%,31%,21%,34%,53%,13%,35%,52%,17%,31%
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",Crime is not a major problem in big cities,7%,8%,6%,6%,8%,5%,8%,7%,7%,4%,8%,7%,6%,8%,6%,9%,6%,6%,6%,20%,7%,3%,4%,9%,12%,2%,6%,13%,3%,6%
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",[VOL] Don't know/Refused,3%,2%,3%,3%,4%,5%,1%,2%,6%,4%,3%,2%,5%,4%,3%,2%,2%,6%,4%,0%,4%,3%,4%,4%,2%,3%,12%,1%,2%,5%
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
"Which statement comes closer to your view, even if neither is exactly right?",People who are offended by Donald Trump take his words too seriously,43%,51%,37%,39%,38%,53%,39%,47%,26%,41%,47%,47%,38%,36%,48%,38%,53%,32%,41%,23%,33%,50%,52%,44%,12%,73%,23%,9%,69%,45%
"Which statement comes closer to your view, even if neither is exactly right?",People have good reason to be offended by Donald Trump’s words,51%,45%,57%,58%,55%,44%,52%,50%,67%,48%,46%,50%,53%,59%,45%,60%,42%,59%,50%,71%,59%,47%,42%,50%,87%,19%,50%,89%,24%,50%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,6%,4%,7%,4%,7%,3%,9%,3%,8%,11%,7%,3%,9%,5%,7%,2%,4%,9%,9%,6%,8%,3%,6%,6%,1%,8%,27%,2%,7%,4%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Strongly support,37%,43%,32%,16%,28%,43%,48%,45%,23%,30%,26%,45%,27%,29%,43%,35%,52%,18%,31%,21%,29%,43%,48%,27%,12%,63%,11%,8%,62%,37%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Somewhat support,21%,21%,22%,25%,18%,20%,22%,21%,31%,14%,26%,21%,21%,22%,21%,21%,22%,23%,21%,22%,20%,16%,22%,29%,22%,22%,15%,24%,21%,20%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Somewhat oppose,18%,17%,19%,31%,25%,17%,9%,14%,20%,29%,17%,14%,24%,23%,15%,20%,10%,28%,22%,24%,19%,24%,11%,20%,30%,8%,17%,30%,8%,21%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Strongly oppose,18%,13%,22%,27%,22%,13%,18%,17%,11%,22%,19%,17%,18%,20%,16%,19%,15%,21%,17%,25%,21%,13%,14%,22%,31%,4%,28%,32%,6%,16%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,[VOL] Don't know/Refused,6%,5%,5%,2%,7%,7%,3%,2%,16%,6%,11%,2%,10%,6%,5%,4%,<1%,10%,9%,8%,11%,3%,4%,2%,6%,3%,29%,6%,3%,5%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,NET Support,59%,64%,54%,41%,46%,63%,70%,66%,53%,44%,52%,66%,48%,51%,64%,56%,74%,41%,52%,43%,49%,59%,71%,56%,33%,85%,26%,32%,83%,58%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,NET Oppose,36%,31%,41%,57%,47%,30%,27%,31%,31%,51%,37%,31%,42%,43%,31%,40%,25%,49%,39%,49%,40%,37%,25%,42%,61%,12%,45%,62%,14%,38%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
Has Donald Trump ever said anything that you found offensive?,"Yes, recently",44%,40%,49%,40%,48%,43%,45%,41%,62%,46%,46%,41%,50%,53%,38%,51%,33%,58%,46%,61%,58%,43%,31%,44%,80%,10%,62%,86%,17%,38%
Has Donald Trump ever said anything that you found offensive?,"Yes, but not recently",21%,20%,21%,18%,20%,21%,22%,24%,19%,14%,19%,24%,16%,26%,17%,28%,20%,22%,13%,21%,18%,20%,24%,17%,13%,29%,8%,9%,25%,31%
Has Donald Trump ever said anything that you found offensive?,No,32%,36%,29%,41%,30%,34%,28%,33%,13%,39%,32%,33%,31%,18%,42%,20%,43%,15%,39%,17%,24%,31%,41%,36%,6%,57%,14%,6%,55%,28%
Has Donald Trump ever said anything that you found offensive?,[VOL] Don’t know/Refused,3%,3%,1%,<1%,3%,2%,5%,3%,6%,<1%,2%,3%,3%,2%,3%,<1%,4%,5%,1%,<.5%,0%,6%,4%,2%,<.5%,4%,16%,<.5%,3%,4%
Has Donald Trump ever said anything that you found offensive?,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Often,51%,49%,53%,63%,48%,53%,48%,54%,31%,54%,52%,54%,48%,41%,58%,39%,65%,43%,50%,26%,46%,49%,65%,48%,26%,74%,48%,32%,68%,47%
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Sometimes,21%,22%,21%,23%,16%,20%,26%,17%,21%,24%,37%,17%,26%,26%,18%,26%,11%,25%,27%,36%,22%,19%,17%,23%,29%,16%,8%,28%,17%,21%
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Rarely,13%,12%,14%,7%,23%,11%,7%,12%,21%,12%,7%,12%,13%,16%,10%,17%,9%,15%,13%,9%,18%,16%,6%,16%,19%,5%,31%,21%,6%,13%
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Never,15%,17%,13%,5%,14%,15%,19%,16%,27%,9%,3%,16%,13%,18%,13%,18%,15%,17%,11%,29%,13%,17%,11%,14%,26%,5%,13%,20%,9%,19%
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",[VOL] Don't know/Refused,<.5%,<.5%,0%,1%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,<1%,0%,0%,0%,<1%,0%,0%,0%,0%,<.5%,0%,0%,0%,0%
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",Voted more for Democrats,30%,26%,34%,40%,29%,25%,30%,21%,62%,39%,24%,21%,42%,34%,27%,26%,17%,47%,39%,46%,41%,25%,17%,35%,61%,4%,16%,79%,3%,18%
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",Voted more for Republicans,39%,40%,38%,18%,31%,42%,57%,52%,3%,22%,39%,52%,21%,32%,43%,42%,60%,17%,21%,37%,32%,37%,52%,25%,10%,67%,18%,1%,75%,30%
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",More of a mix,27%,29%,25%,27%,36%,31%,11%,25%,25%,32%,30%,25%,30%,31%,25%,32%,20%,28%,31%,14%,22%,32%,30%,31%,25%,27%,44%,17%,20%,49%
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",[VOL] Don’t know/Refused,4%,5%,3%,14%,3%,1%,2%,2%,10%,7%,7%,2%,8%,3%,5%,<.5%,3%,7%,8%,3%,5%,5%,2%,9%,4%,3%,22%,3%,2%,3%
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
(Ask of Hispanic respondents)  What’s your family’s national origin?,Mexican,71%,77%,66%,70%,66%,77%,69%,59%,4%,77%,85%,59%,74%,81%,68%,77%,55%,81%,71%,70%,69%,55%,70%,84%,74%,71%,45%,71%,73%,83%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Cuban,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Puerto Rican,3%,1%,4%,4%,3%,3%,0%,0%,0%,3%,0%,0%,3%,4%,2%,0%,0%,4%,3%,7%,0%,5%,5%,0%,4%,2%,0%,3%,3%,3%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Dominican,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Central American,7%,6%,9%,11%,12%,5%,0%,3%,6%,8%,0%,3%,8%,2%,9%,23%,0%,1%,11%,0%,27%,10%,2%,<1%,9%,1%,42%,11%,0%,2%
(Ask of Hispanic respondents)  What’s your family’s national origin?,[VOL] South American,<1%,0%,1%,2%,0%,0%,0%,5%,0%,0%,0%,5%,0%,0%,<1%,0%,6%,0%,0%,0%,0%,3%,0%,0%,1%,0%,0%,1%,0%,0%
(Ask of Hispanic respondents)  What’s your family’s national origin?,[VOL] Spanish,2%,2%,2%,4%,0%,3%,0%,0%,0%,2%,0%,0%,2%,0%,3%,0%,0%,0%,3%,0%,0%,0%,10%,0%,2%,2%,0%,3%,3%,0%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Or is your heritage from other country (Specify) (Includes multiple origins),10%,9%,12%,4%,8%,9%,31%,7%,64%,8%,15%,7%,11%,11%,10%,0%,8%,11%,11%,23%,4%,21%,<1%,10%,10%,12%,0%,11%,8%,12%
(Ask of Hispanic respondents)  What’s your family’s national origin?,[VOL] Don’t know/Refused,6%,5%,7%,5%,11%,3%,0%,26%,26%,<1%,0%,26%,2%,3%,7%,0%,30%,3%,2%,0%,0%,6%,13%,6%,0%,11%,13%,0%,12%,0%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Number of respondents,151,80,71,54,34,48,11,13,7,123,5,13,135,55,96,3,10,51,84,13,20,30,33,55,74,73,4,58,46,37
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",United States,78%,71%,85%,80%,85%,71%,78%,83%,94%,76%,100%,83%,77%,90%,74%,61%,86%,92%,71%,100%,73%,81%,90%,67%,77%,82%,58%,79%,72%,95%
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",Puerto Rico,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",Another country,22%,29%,15%,20%,15%,29%,22%,17%,6%,24%,0%,17%,23%,10%,26%,39%,14%,8%,29%,0%,27%,19%,10%,33%,23%,18%,42%,21%,28%,5%
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",Number of respondents,151,80,71,54,34,48,11,13,7,123,5,13,135,55,96,3,10,51,84,13,20,30,33,55,74,73,4,58,46,37
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,0,20%,28%,14%,28%,23%,17%,2%,0%,0%,24%,0%,0%,21%,25%,18%,0%,0%,26%,19%,29%,11%,23%,19%,21%,19%,21%,28%,17%,22%,24%
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,1,15%,20%,11%,14%,18%,18%,8%,5%,0%,19%,0%,5%,17%,23%,12%,0%,6%,23%,13%,9%,9%,15%,19%,18%,13%,18%,0%,12%,14%,23%
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,2,65%,52%,75%,57%,59%,65%,89%,95%,100%,58%,100%,95%,62%,52%,71%,100%,94%,51%,68%,62%,80%,63%,62%,61%,68%,61%,72%,71%,64%,54%
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,Number of respondents,124,63,61,45,30,37,8,10,6,101,5,10,112,49,75,2,8,47,65,13,16,25,30,40,61,60,3,49,33,35
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,"Yes, Spanish",70%,72%,68%,54%,62%,78%,94%,47%,47%,76%,23%,47%,73%,75%,68%,61%,45%,75%,72%,78%,62%,82%,43%,82%,77%,60%,87%,74%,65%,67%
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,"Yes, another language",<1%,2%,0%,1%,2%,0%,0%,0%,6%,<1%,0%,0%,<1%,3%,0%,0%,0%,3%,0%,0%,0%,0%,0%,2%,<1%,<1%,0%,2%,0%,0%
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,No,29%,26%,32%,45%,36%,22%,6%,53%,47%,23%,77%,53%,26%,23%,32%,39%,55%,22%,28%,22%,38%,18%,57%,16%,22%,39%,13%,25%,35%,33%
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,Number of respondents,151,80,71,54,34,48,11,13,7,123,5,13,135,55,96,3,10,51,84,13,20,30,33,55,74,73,4,58,46,37
Are you personally a small-business owner?,Yes,26%,29%,24%,15%,28%,30%,23%,23%,35%,27%,32%,23%,30%,26%,26%,25%,21%,27%,33%,25%,28%,25%,23%,31%,25%,28%,18%,21%,29%,29%
Are you personally a small-business owner?,No,74%,71%,76%,85%,72%,70%,77%,77%,65%,73%,68%,77%,70%,74%,74%,75%,79%,73%,67%,75%,72%,75%,77%,69%,75%,72%,82%,79%,71%,71%
Are you personally a small-business owner?,[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Are you personally a small-business owner?,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
What single news source do you turn to most often?,[VOL] Social media,25%,27%,24%,50%,34%,20%,9%,19%,33%,37%,24%,19%,33%,21%,28%,18%,20%,27%,37%,19%,24%,29%,25%,26%,26%,25%,11%,27%,23%,26%
What single news source do you turn to most often?,[VOL] Fox News,14%,16%,13%,12%,8%,15%,22%,18%,6%,9%,11%,18%,9%,10%,17%,11%,23%,8%,9%,13%,13%,10%,20%,10%,3%,25%,11%,3%,22%,17%
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",14%,12%,16%,3%,2%,19%,24%,15%,13%,18%,5%,15%,14%,10%,17%,10%,18%,9%,17%,2%,9%,14%,14%,28%,18%,10%,20%,21%,12%,11%
What single news source do you turn to most often?,[VOL] CNN,8%,5%,10%,5%,19%,5%,6%,6%,10%,10%,18%,6%,11%,14%,4%,7%,5%,24%,4%,21%,9%,13%,4%,4%,15%,1%,18%,17%,2%,6%
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",5%,6%,4%,6%,2%,5%,5%,4%,15%,4%,0%,4%,6%,5%,5%,6%,3%,4%,7%,3%,6%,7%,2%,9%,6%,4%,4%,6%,5%,3%
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",4%,4%,4%,3%,6%,4%,4%,6%,3%,0%,2%,6%,1%,9%,<1%,14%,<1%,2%,<1%,8%,5%,2%,4%,3%,7%,<1%,6%,7%,2%,5%
What single news source do you turn to most often?,[VOL] Newsmax,4%,5%,3%,0%,<1%,4%,8%,7%,0%,<.5%,3%,7%,<1%,3%,5%,5%,8%,<.5%,<1%,3%,1%,3%,8%,0%,0%,8%,0%,0%,10%,1%
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,4%,3%,4%,3%,3%,5%,2%,5%,2%,1%,7%,5%,3%,8%,<1%,10%,<1%,7%,<.5%,11%,6%,2%,2%,2%,8%,0%,0%,7%,0%,6%
What single news source do you turn to most often?,[VOL] Conservative news sites,2%,2%,3%,0%,2%,5%,2%,3%,0%,2%,4%,3%,2%,2%,3%,2%,4%,2%,1%,3%,2%,5%,2%,2%,0%,5%,0%,0%,5%,2%
What single news source do you turn to most often?,[VOL] MSNBC,2%,<1%,3%,0%,3%,<.5%,4%,2%,5%,<.5%,3%,2%,2%,2%,2%,<1%,2%,4%,<1%,10%,1%,0%,2%,0%,4%,0%,0%,2%,2%,2%
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",1%,<1%,2%,4%,<.5%,2%,0%,1%,<.5%,3%,0%,1%,1%,<.5%,2%,<.5%,2%,<.5%,2%,0%,<1%,<.5%,3%,<1%,2%,1%,<.5%,2%,<1%,2%
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",1%,1%,1%,2%,0%,2%,<1%,1%,1%,0%,5%,1%,1%,3%,0%,3%,0%,4%,0%,0%,2%,2%,1%,<1%,1%,1%,5%,0%,2%,1%
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,<1%,1%,0%,0%,2%,0%,1%,<1%,0%,2%,0%,<1%,<1%,0%,1%,0%,1%,0%,1%,0%,1%,0%,1%,0%,0%,1%,0%,0%,<1%,1%
What single news source do you turn to most often?,[VOL] Local print or online news organizations,<.5%,0%,<1%,0%,1%,0%,0%,<1%,0%,0%,0%,<1%,0%,<1%,0%,1%,0%,0%,0%,0%,0%,0%,<1%,0%,0%,<1%,0%,0%,<1%,0%
What single news source do you turn to most often?,[VOL] Friends and family,<.5%,0%,<1%,0%,0%,<1%,<.5%,<1%,0%,0%,0%,<1%,0%,<.5%,<.5%,<.5%,<1%,0%,0%,0%,<1%,0%,<.5%,0%,0%,<1%,0%,0%,0%,<1%
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What single news source do you turn to most often?,[VOL] Doesn’t consume news,<1%,<1%,<1%,2%,<.5%,<.5%,<1%,1%,0%,<.5%,2%,1%,<1%,<1%,<1%,1%,1%,<.5%,<1%,3%,0%,0%,2%,0%,<1%,1%,0%,0%,1%,1%
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),8%,8%,7%,7%,7%,8%,7%,6%,9%,10%,6%,6%,9%,8%,7%,9%,4%,6%,11%,2%,11%,8%,6%,10%,7%,8%,12%,6%,5%,12%
What single news source do you turn to most often?,[VOL] Don't know/Refused,5%,6%,3%,4%,9%,5%,4%,5%,3%,4%,11%,5%,5%,2%,7%,2%,7%,<1%,7%,3%,9%,5%,4%,4%,1%,7%,13%,1%,7%,2%
What single news source do you turn to most often?,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,10%,7%,13%,22%,13%,7%,6%,12%,9%,9%,3%,12%,8%,10%,10%,14%,11%,6%,9%,18%,12%,8%,8%,11%,20%,2%,2%,24%,1%,8%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,12%,12%,12%,10%,14%,11%,8%,8%,15%,17%,22%,8%,17%,14%,11%,11%,6%,17%,18%,10%,24%,9%,6%,12%,23%,3%,10%,33%,4%,4%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,30%,28%,31%,37%,37%,29%,17%,23%,42%,34%,42%,23%,38%,39%,23%,32%,17%,50%,31%,33%,30%,24%,29%,38%,41%,19%,39%,33%,14%,46%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,20%,25%,16%,19%,18%,17%,30%,25%,5%,18%,18%,25%,14%,18%,22%,24%,25%,10%,17%,9%,14%,24%,26%,19%,7%,33%,17%,3%,31%,26%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,25%,25%,24%,9%,14%,33%,36%,30%,23%,16%,12%,30%,17%,16%,30%,19%,39%,11%,20%,30%,17%,31%,30%,12%,7%,42%,6%,6%,47%,16%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,3%,3%,3%,3%,4%,3%,3%,2%,7%,6%,2%,2%,6%,2%,4%,<.5%,3%,6%,6%,0%,3%,4%,2%,8%,2%,2%,26%,1%,3%,<.5%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
Which of the following general income categories is your total household income before taxes?,"Under $25,000",9%,6%,13%,18%,4%,4%,15%,9%,8%,15%,3%,9%,10%,3%,14%,3%,13%,3%,15%,6%,9%,4%,12%,12%,11%,8%,7%,15%,9%,5%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",16%,15%,17%,25%,9%,16%,18%,13%,28%,20%,14%,13%,21%,4%,25%,4%,19%,4%,31%,19%,15%,19%,14%,17%,17%,14%,31%,18%,16%,10%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",26%,27%,25%,31%,26%,22%,25%,22%,29%,28%,35%,22%,30%,29%,23%,28%,18%,31%,30%,20%,31%,22%,24%,29%,25%,27%,11%,25%,25%,30%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",26%,29%,23%,16%,33%,33%,21%,29%,16%,26%,25%,29%,23%,34%,21%,37%,23%,29%,19%,23%,18%,29%,28%,34%,24%,29%,20%,19%,28%,30%
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",16%,18%,15%,5%,27%,23%,8%,17%,18%,10%,22%,17%,15%,28%,9%,24%,12%,33%,5%,28%,19%,18%,14%,7%,18%,14%,27%,21%,14%,17%
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,6%,4%,8%,5%,<.5%,3%,14%,11%,1%,0%,0%,11%,<.5%,3%,9%,4%,15%,0%,<1%,4%,8%,7%,8%,1%,5%,8%,5%,<1%,8%,8%
Which of the following general income categories is your total household income before taxes?,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,21%,21%,21%,18%,16%,25%,21%,14%,11%,45%,18%,14%,30%,22%,20%,17%,12%,31%,29%,17%,18%,21%,17%,35%,19%,22%,20%,24%,19%,21%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant/Christian,49%,47%,50%,34%,39%,49%,65%,56%,67%,29%,27%,56%,39%,40%,55%,44%,66%,34%,42%,43%,43%,47%,62%,35%,36%,60%,44%,33%,65%,48%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon/Latter-day Saints,<1%,1%,<.5%,0%,2%,0%,2%,<1%,0%,2%,0%,<1%,<1%,<1%,<1%,2%,0%,0%,1%,0%,0%,<1%,2%,0%,<.5%,1%,0%,0%,2%,0%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,<1%,1%,<1%,<1%,<1%,1%,0%,<1%,0%,0%,3%,<1%,<1%,2%,<.5%,2%,0%,<1%,<.5%,0%,<1%,2%,<.5%,<1%,1%,<1%,0%,2%,<.5%,<1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Muslim,<1%,<1%,<1%,2%,<1%,1%,0%,<1%,0%,<.5%,4%,<1%,1%,1%,<1%,1%,0%,1%,1%,2%,1%,2%,0%,<1%,2%,<.5%,0%,1%,<.5%,<1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Greek/Russian Orthodox,1%,2%,1%,6%,1%,<.5%,<.5%,1%,<.5%,3%,0%,1%,1%,1%,1%,2%,<1%,<1%,2%,2%,<1%,2%,1%,2%,<.5%,2%,0%,<.5%,2%,2%
