itm,v1,registered_voters_registered_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,18-29,16%,16%,19%,16%,18%,15%,13%,16%,16%,100%,0%,0%,0%,13%,17%,30%,27%,12%,19%,11%,14%,13%,29%,17%,19%,13%,17%,15%,18%,13%
How satisfied are you with the way things are going in your life these days?,30-44,23%,23%,25%,24%,25%,23%,20%,23%,23%,0%,100%,0%,0%,21%,26%,26%,33%,29%,21%,27%,18%,36%,26%,27%,24%,19%,22%,23%,28%,20%
How satisfied are you with the way things are going in your life these days?,45-64,31%,29%,31%,30%,29%,31%,35%,30%,32%,0%,0%,100%,0%,32%,31%,27%,24%,33%,30%,33%,32%,33%,26%,29%,28%,35%,28%,34%,27%,30%
How satisfied are you with the way things are going in your life these days?,65+,25%,27%,21%,25%,23%,28%,29%,25%,26%,0%,0%,0%,100%,30%,21%,13%,10%,22%,27%,25%,33%,14%,15%,23%,24%,29%,29%,24%,19%,34%
How satisfied are you with the way things are going in your life these days?,Refused,4%,6%,5%,5%,5%,3%,2%,5%,3%,0%,0%,0%,0%,3%,4%,3%,6%,4%,4%,4%,3%,4%,4%,5%,4%,4%,4%,4%,8%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,16%,23%,31%,25%,68%,12%,10%,8%,34%,64%,25%,42%,8%,21%,24%,41%,35%,42%,48%,10%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Grade school,3%,4%,2%,3%,4%,2%,1%,4%,2%,2%,2%,2%,4%,2%,4%,9%,3%,0%,4%,0%,3%,0%,8%,4%,2%,3%,3%,3%,4%,3%
How satisfied are you with the way things are going in your life these days?,High school,29%,24%,30%,31%,29%,32%,30%,30%,29%,43%,25%,25%,31%,28%,31%,38%,30%,0%,45%,0%,45%,0%,47%,28%,26%,34%,26%,32%,31%,24%
How satisfied are you with the way things are going in your life these days?,Vocational or trade school,5%,4%,6%,4%,5%,5%,7%,5%,5%,4%,5%,6%,5%,5%,5%,6%,4%,0%,8%,0%,8%,0%,7%,5%,4%,7%,4%,6%,5%,4%
How satisfied are you with the way things are going in your life these days?,"Some college, no degree",17%,21%,17%,19%,21%,13%,14%,16%,18%,18%,14%,18%,19%,17%,19%,16%,19%,0%,27%,0%,27%,0%,26%,17%,18%,17%,15%,20%,16%,14%
How satisfied are you with the way things are going in your life these days?,Associate’s degree,10%,9%,9%,10%,9%,10%,11%,9%,10%,8%,11%,11%,9%,10%,9%,8%,6%,0%,15%,0%,17%,0%,11%,9%,9%,11%,9%,11%,9%,9%
How satisfied are you with the way things are going in your life these days?,Bachelor's degree,21%,23%,21%,20%,19%,22%,23%,22%,21%,20%,27%,23%,15%,23%,15%,14%,21%,62%,0%,64%,0%,57%,0%,22%,23%,18%,24%,19%,21%,25%
How satisfied are you with the way things are going in your life these days?,Graduate or professional degree,13%,13%,14%,13%,10%,15%,13%,13%,13%,5%,15%,15%,14%,13%,15%,6%,15%,38%,0%,36%,0%,43%,0%,14%,16%,9%,18%,9%,11%,21%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,1%,<1%,1%,2%,2%,<.5%,1%,1%,1%,<.5%,<.5%,<.5%,2%,<1%,<1%,2%,2%,0%,0%,0%,0%,0%,0%,1%,1%,<1%,<1%,1%,2%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,16%,23%,31%,25%,68%,12%,10%,8%,34%,64%,25%,42%,8%,21%,24%,41%,35%,42%,48%,10%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,White,66%,61%,52%,73%,51%,77%,83%,68%,65%,55%,61%,68%,79%,98%,0%,0%,0%,72%,64%,99%,98%,0%,0%,55%,63%,78%,62%,74%,49%,66%
How satisfied are you with the way things are going in your life these days?,Hispanic or Latino,10%,21%,7%,4%,21%,3%,3%,8%,11%,18%,11%,8%,5%,0%,0%,99%,0%,6%,12%,0%,0%,23%,37%,14%,10%,6%,10%,9%,12%,9%
How satisfied are you with the way things are going in your life these days?,Black or African American,12%,5%,29%,12%,9%,11%,5%,10%,14%,13%,14%,12%,10%,0%,100%,0%,0%,11%,13%,0%,0%,44%,40%,18%,13%,6%,18%,6%,17%,17%
How satisfied are you with the way things are going in your life these days?,Asian,2%,2%,1%,2%,3%,2%,1%,2%,1%,4%,3%,<1%,<1%,0%,0%,0%,23%,3%,1%,0%,0%,13%,3%,3%,2%,<1%,2%,1%,3%,2%
How satisfied are you with the way things are going in your life these days?,American Indian or Alaska Native,1%,3%,<1%,<1%,3%,<.5%,<.5%,2%,1%,2%,2%,1%,<1%,0%,0%,0%,17%,<1%,2%,0%,0%,3%,5%,1%,<1%,2%,1%,1%,2%,<1%
How satisfied are you with the way things are going in your life these days?,Middle Eastern or North African,<1%,<1%,<.5%,1%,1%,<1%,<.5%,1%,<.5%,1%,<1%,<1%,<.5%,0%,0%,0%,9%,<1%,<1%,0%,0%,3%,2%,<1%,1%,<.5%,<.5%,<1%,1%,<.5%
How satisfied are you with the way things are going in your life these days?,Native Hawaiian or Pacific Islander,<1%,<.5%,<1%,<.5%,2%,<.5%,1%,<1%,<1%,<1%,1%,<1%,<.5%,0%,0%,0%,11%,<1%,<1%,0%,0%,3%,2%,<1%,<1%,<1%,<.5%,<1%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Some other race (specify),3%,3%,3%,2%,3%,3%,3%,3%,3%,2%,3%,4%,2%,2%,<.5%,1%,18%,2%,3%,<1%,2%,5%,5%,3%,3%,3%,2%,3%,5%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] More than one race,2%,2%,2%,1%,3%,1%,<1%,2%,2%,3%,3%,1%,<1%,0%,0%,0%,22%,1%,2%,0%,0%,6%,5%,3%,2%,<1%,2%,1%,3%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,3%,2%,4%,4%,3%,3%,2%,3%,2%,1%,2%,3%,2%,0%,0%,0%,0%,3%,2%,0%,0%,0%,0%,1%,4%,3%,2%,3%,7%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,16%,23%,31%,25%,68%,12%,10%,8%,34%,64%,25%,42%,8%,21%,24%,41%,35%,42%,48%,10%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Democrat,29%,27%,30%,27%,25%,35%,30%,22%,35%,27%,24%,29%,36%,24%,58%,36%,26%,34%,26%,31%,20%,45%,41%,35%,32%,21%,61%,4%,14%,67%
How satisfied are you with the way things are going in your life these days?,Republican,28%,29%,28%,26%,26%,34%,25%,30%,27%,15%,22%,33%,35%,35%,3%,17%,19%,23%,31%,27%,40%,13%,12%,21%,25%,37%,3%,54%,8%,3%
How satisfied are you with the way things are going in your life these days?,Independent,34%,37%,31%,36%,39%,25%,39%,39%,30%,44%,42%,31%,27%,34%,30%,36%,43%,34%,34%,34%,33%,34%,36%,36%,34%,34%,31%,34%,51%,27%
How satisfied are you with the way things are going in your life these days?,Another party,4%,4%,3%,4%,5%,3%,3%,4%,3%,6%,7%,3%,<.5%,4%,3%,3%,6%,4%,4%,4%,4%,4%,4%,3%,4%,4%,2%,4%,9%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,5%,3%,8%,7%,5%,3%,3%,4%,5%,7%,5%,5%,3%,4%,7%,8%,6%,4%,5%,4%,3%,4%,8%,6%,5%,4%,2%,4%,19%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
