itm,v1,ohio_likely_electorate_ohio_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_cleveland_area,region_columbus_area,region_industrial_north_east,region_south_east,region_south_west,region_west_central,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,ohio_likely_electorate_1,men_1,women_5,x18_29_0,x30_44_5,x45_64_0,x65_2,white_1,black_1,oth_0,b_a_0,no_b_a_1,white_college_0,white_no_college_1,non_white_college_0,non_white_no_college_1,cleveland_area_0,columbus_area_1,industrial_north_east_1,south_east_3,south_west_0,west_central_0,city_0,suburb_1,rural_small_town_1,harris_1,trump_1,oth_2,dem_0,rep_1
(ASK IF SPLIT B)  Cares about people like me,Not at all well,38%,34%,40%,36%,36%,34%,46%,35%,57%,45%,46%,33%,46%,28%,51%,52%,46%,39%,44%,25%,40%,31%,51%,39%,32%,74%,2%,61%,82%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,[VOL] Don't know/Refused,7%,6%,8%,8%,5%,9%,7%,5%,16%,16%,5%,9%,3%,7%,12%,18%,5%,17%,6%,2%,6%,5%,16%,4%,7%,8%,6%,12%,8%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,NET Well,48%,55%,44%,41%,53%,49%,45%,54%,24%,19%,42%,52%,47%,58%,15%,25%,43%,36%,42%,68%,51%,53%,28%,51%,54%,7%,91%,22%,5%,82%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,NET Not well,45%,39%,49%,52%,41%,43%,48%,41%,60%,65%,53%,39%,50%,35%,74%,57%,52%,48%,53%,29%,42%,42%,57%,46%,39%,86%,3%,66%,87%,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,Number of respondents,279,125,150,45,56,102,73,227,27,18,127,150,106,121,20,25,40,47,49,28,65,50,51,115,113,127,134,18,74,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Very well,29%,24%,33%,22%,45%,23%,29%,27%,35%,46%,47%,18%,46%,17%,58%,28%,24%,38%,41%,26%,22%,17%,39%,35%,18%,61%,5%,8%,65%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Somewhat well,21%,20%,22%,38%,11%,24%,17%,21%,20%,25%,20%,22%,20%,21%,26%,20%,20%,29%,22%,24%,20%,12%,19%,21%,22%,28%,13%,44%,24%,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not too well,11%,9%,13%,13%,13%,10%,12%,12%,3%,12%,8%,13%,8%,14%,8%,8%,17%,10%,6%,4%,6%,19%,4%,8%,17%,0%,20%,16%,0%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Not at all well,25%,32%,19%,15%,18%,31%,25%,28%,11%,2%,18%,30%,22%,32%,0%,10%,16%,17%,15%,33%,41%,39%,27%,17%,33%,1%,45%,23%,1%,46%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",[VOL] Don't know/Refused,14%,15%,13%,12%,14%,12%,17%,12%,32%,16%,6%,18%,5%,16%,8%,34%,23%,6%,15%,13%,10%,12%,11%,19%,9%,10%,17%,9%,9%,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Well,50%,44%,55%,60%,55%,47%,46%,48%,54%,71%,68%,40%,65%,38%,84%,49%,44%,67%,63%,49%,42%,30%,58%,56%,40%,89%,18%,52%,89%,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",NET Not well,36%,41%,32%,28%,31%,41%,37%,40%,14%,14%,26%,42%,30%,46%,8%,18%,33%,27%,21%,38%,48%,58%,31%,25%,51%,1%,65%,39%,1%,58%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Please tell me if this describes Tim Walz [walls] very well, somewhat well, not too well or not at all well: (ASK IF SPLIT A) Is honest and trustworthy",Number of respondents,288,146,136,54,53,103,68,234,22,25,128,157,106,127,21,26,58,49,60,22,52,47,51,129,108,135,140,13,90,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,Very well,31%,27%,35%,35%,24%,24%,42%,32%,38%,32%,39%,27%,36%,28%,53%,28%,34%,40%,35%,25%,31%,21%,40%,35%,23%,65%,3%,0%,75%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,Somewhat well,15%,13%,17%,14%,32%,15%,5%,15%,26%,12%,22%,12%,23%,9%,14%,22%,16%,13%,8%,11%,23%,17%,16%,13%,18%,16%,13%,29%,5%,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,Not too well,8%,12%,6%,6%,6%,10%,9%,9%,0%,12%,7%,10%,8%,10%,0%,8%,3%,12%,9%,18%,3%,10%,2%,12%,8%,2%,15%,5%,<1%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,Not at all well,27%,33%,21%,26%,32%,27%,25%,30%,4%,9%,18%,31%,19%,37%,14%,3%,22%,15%,30%,36%,27%,36%,22%,24%,33%,1%,51%,34%,1%,46%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,[VOL] Don't know/Refused,18%,14%,20%,19%,7%,24%,19%,15%,32%,35%,15%,20%,13%,16%,20%,40%,25%,21%,18%,10%,15%,15%,20%,17%,18%,16%,17%,33%,18%,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,NET Well,47%,41%,53%,49%,56%,39%,47%,46%,64%,43%,61%,39%,60%,37%,67%,50%,50%,53%,43%,36%,54%,39%,56%,48%,41%,80%,17%,29%,80%,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,NET Not well,36%,45%,27%,32%,37%,37%,34%,39%,4%,22%,25%,41%,27%,47%,14%,10%,25%,27%,39%,54%,31%,46%,24%,36%,41%,4%,66%,38%,2%,57%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(ASK IF SPLIT B)  Cares about people like me,Number of respondents,279,125,150,45,56,102,73,227,27,18,127,150,106,121,20,25,40,47,49,28,65,50,51,115,113,127,134,18,74,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Requiring auto makers to expand electric vehicle manufacturing.,Strongly support,15%,14%,15%,12%,18%,12%,17%,14%,14%,27%,22%,11%,21%,10%,26%,17%,13%,21%,17%,13%,15%,9%,20%,21%,6%,28%,3%,12%,30%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Requiring auto makers to expand electric vehicle manufacturing.,Somewhat support,25%,19%,29%,39%,21%,21%,25%,26%,28%,11%,28%,23%,30%,23%,20%,20%,27%,28%,22%,30%,23%,20%,25%,25%,24%,39%,10%,39%,39%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Requiring auto makers to expand electric vehicle manufacturing.,Somewhat oppose,18%,18%,19%,20%,25%,19%,11%,18%,18%,28%,19%,18%,17%,18%,24%,22%,26%,16%,14%,10%,23%,17%,14%,21%,17%,15%,22%,13%,13%,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Requiring auto makers to expand electric vehicle manufacturing.,Strongly oppose,36%,42%,31%,23%,31%,37%,43%,38%,29%,16%,26%,42%,27%,44%,18%,26%,26%,28%,35%,43%,35%,50%,28%,27%,49%,7%,62%,23%,9%,59%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Requiring auto makers to expand electric vehicle manufacturing.,[VOL] Don't know/Refused,7%,7%,6%,6%,5%,11%,4%,5%,12%,18%,5%,7%,4%,5%,13%,16%,7%,7%,11%,4%,5%,4%,13%,6%,5%,10%,3%,13%,9%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Requiring auto makers to expand electric vehicle manufacturing.,NET Support,39%,33%,45%,51%,39%,33%,42%,40%,42%,38%,50%,33%,52%,33%,46%,36%,41%,49%,39%,43%,37%,29%,45%,46%,30%,67%,13%,51%,69%,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Requiring auto makers to expand electric vehicle manufacturing.,NET Oppose,54%,60%,50%,43%,56%,56%,54%,55%,47%,44%,45%,60%,45%,62%,42%,48%,52%,43%,50%,53%,58%,68%,42%,48%,66%,23%,84%,36%,22%,79%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Requiring auto makers to expand electric vehicle manufacturing.,Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Expanding tariffs on products made outside the United States.,Strongly support,30%,40%,21%,11%,23%,36%,35%,31%,20%,21%,20%,35%,20%,38%,19%,21%,32%,19%,27%,39%,35%,30%,27%,28%,32%,9%,50%,11%,10%,48%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Expanding tariffs on products made outside the United States.,Somewhat support,27%,23%,33%,38%,28%,23%,27%,29%,14%,24%,27%,28%,28%,30%,18%,19%,24%,33%,18%,37%,22%,36%,22%,24%,33%,26%,26%,49%,29%,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Expanding tariffs on products made outside the United States.,Somewhat oppose,15%,13%,17%,26%,18%,15%,9%,15%,17%,15%,22%,12%,23%,10%,14%,17%,20%,22%,15%,6%,13%,12%,17%,19%,10%,25%,7%,13%,21%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Expanding tariffs on products made outside the United States.,Strongly oppose,20%,21%,21%,13%,19%,22%,22%,19%,30%,31%,23%,19%,22%,17%,35%,28%,16%,20%,29%,18%,19%,17%,24%,20%,19%,30%,13%,11%,29%,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Expanding tariffs on products made outside the United States.,[VOL] Don't know/Refused,8%,4%,10%,12%,11%,5%,7%,6%,19%,10%,8%,6%,7%,5%,14%,15%,7%,6%,11%,1%,10%,5%,10%,9%,6%,9%,5%,17%,11%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Expanding tariffs on products made outside the United States.,NET Support,57%,63%,53%,49%,51%,59%,62%,60%,34%,45%,47%,63%,48%,67%,37%,40%,56%,52%,45%,75%,57%,66%,49%,52%,65%,35%,76%,60%,39%,74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Expanding tariffs on products made outside the United States.,NET Oppose,36%,33%,37%,39%,38%,37%,31%,34%,47%,45%,45%,30%,45%,28%,49%,45%,36%,42%,44%,23%,32%,29%,41%,39%,29%,55%,19%,24%,51%,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Expanding tariffs on products made outside the United States.,Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Personality/behavior,34%,38%,33%,22%,26%,35%,50%,44%,18%,0%,37%,34%,46%,42%,10%,9%,35%,13%,35%,25%,46%,39%,28%,27%,42%,18%,48%,37%,24%,39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Ethics/honesty,18%,11%,25%,12%,21%,21%,15%,20%,3%,27%,17%,19%,18%,21%,18%,13%,7%,35%,15%,12%,13%,24%,15%,19%,18%,22%,8%,23%,27%,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Threat to democracy,10%,14%,7%,25%,9%,8%,6%,8%,11%,25%,2%,14%,3%,11%,0%,25%,7%,0%,16%,24%,9%,8%,4%,15%,8%,13%,0%,16%,6%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Ability to do the job,9%,10%,4%,15%,3%,9%,8%,7%,0%,10%,5%,7%,4%,9%,12%,2%,7%,3%,18%,0%,0%,16%,5%,<1%,18%,12%,4%,11%,0%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Race/racism/sexism,8%,0%,15%,0%,17%,0%,13%,6%,33%,0%,5%,10%,4%,7%,8%,21%,25%,<1%,0%,0%,19%,0%,23%,10%,<.5%,7%,12%,5%,0%,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Court cases/convictions,4%,7%,2%,7%,0%,9%,0%,0%,21%,8%,0%,6%,0%,0%,0%,21%,0%,17%,0%,11%,0%,4%,13%,0%,3%,11%,0%,0%,20%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Immigration,3%,2%,4%,0%,7%,0%,4%,3%,7%,0%,4%,3%,5%,2%,0%,5%,0%,13%,0%,0%,0%,6%,0%,5%,3%,0%,7%,2%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Don't know/refused,1%,3%,0%,0%,0%,4%,0%,2%,0%,0%,3%,<.5%,4%,<.5%,0%,0%,6%,0%,0%,0%,<1%,0%,0%,3%,0%,3%,0%,0%,0%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Abortion,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Economy,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] Other (specify),6%,5%,6%,7%,8%,8%,0%,5%,7%,5%,8%,5%,7%,4%,12%,3%,8%,15%,3%,0%,6%,3%,5%,12%,1%,8%,10%,0%,16%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",[VOL] No biggest concern,8%,11%,6%,13%,9%,6%,4%,5%,0%,25%,18%,2%,9%,2%,41%,0%,6%,3%,13%,28%,6%,0%,7%,9%,7%,5%,12%,6%,7%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Donald Trump?",Number of respondents,102,53,47,17,30,33,20,75,11,10,39,61,31,44,7,14,17,14,23,10,19,19,20,39,43,38,33,31,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Honesty/follow through,17%,11%,23%,23%,32%,7%,4%,17%,32%,11%,19%,16%,20%,15%,18%,24%,13%,0%,4%,0%,42%,31%,25%,13%,17%,22%,23%,6%,9%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Personality/judgement/attitude/ability,17%,18%,16%,9%,21%,19%,13%,18%,28%,0%,12%,20%,13%,21%,12%,15%,21%,39%,9%,7%,9%,17%,18%,18%,15%,11%,21%,18%,42%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Lack of experience,13%,4%,15%,0%,<1%,19%,24%,11%,0%,15%,3%,14%,4%,15%,0%,11%,26%,4%,18%,13%,12%,<.5%,11%,17%,10%,8%,17%,14%,14%,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Ideology,10%,6%,15%,0%,10%,11%,18%,14%,0%,5%,12%,10%,16%,13%,0%,3%,6%,24%,3%,12%,5%,18%,5%,3%,19%,3%,4%,24%,0%,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Don’t know enough about her,6%,2%,10%,0%,0%,7%,16%,9%,0%,0%,3%,8%,4%,11%,0%,0%,0%,0%,16%,0%,0%,11%,4%,6%,7%,15%,3%,0%,6%,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Economy,5%,8%,1%,10%,0%,9%,3%,4%,0%,15%,12%,2%,10%,0%,19%,2%,0%,3%,8%,0%,14%,0%,13%,5%,2%,6%,6%,2%,0%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Track record,2%,3%,2%,5%,3%,2%,0%,3%,0%,0%,4%,2%,5%,2%,0%,0%,0%,4%,0%,10%,0%,5%,3%,0%,4%,2%,5%,0%,0%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Immigration,2%,3%,1%,0%,2%,1%,5%,3%,0%,0%,1%,3%,2%,4%,0%,0%,0%,8%,0%,8%,0%,2%,7%,0%,2%,3%,3%,0%,15%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Other (specify),15%,30%,3%,28%,22%,15%,2%,10%,35%,26%,19%,14%,18%,6%,10%,39%,24%,14%,24%,12%,11%,0%,7%,31%,5%,14%,9%,21%,7%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] No biggest concern,11%,11%,11%,24%,7%,7%,11%,9%,5%,21%,10%,11%,5%,11%,29%,6%,3%,3%,12%,38%,6%,15%,3%,5%,18%,11%,8%,13%,0%,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",[VOL] Don't know/refused,3%,4%,1%,0%,3%,3%,4%,3%,0%,7%,5%,2%,3%,3%,12%,0%,7%,0%,6%,0%,<1%,0%,4%,2%,2%,6%,0%,2%,7%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
