itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,Black or African American,11%,8%,13%,12%,10%,13%,8%,0%,99%,0%,7%,13%,0%,0%,44%,63%,12%,2%,4%,42%,10%,6%,6%,31%,8%,3%,17%,4%,18%,15%
How satisfied are you with the way things are going in your life these days?,Asian,2%,2%,<1%,4%,1%,<1%,<1%,0%,0%,19%,2%,1%,0%,0%,13%,6%,0%,0%,0%,4%,4%,2%,0%,3%,2%,0%,1%,1%,4%,1%
How satisfied are you with the way things are going in your life these days?,American Indian or Alaska Native,<.5%,<.5%,<1%,0%,0%,<1%,<1%,0%,0%,4%,<.5%,<.5%,0%,0%,3%,1%,0%,0%,<1%,0%,<1%,0%,<1%,0%,<.5%,<1%,<.5%,<.5%,<1%,<1%
How satisfied are you with the way things are going in your life these days?,Middle Eastern or North African,<1%,1%,<.5%,2%,<1%,<.5%,<.5%,0%,0%,8%,<1%,<.5%,0%,0%,6%,2%,0%,0%,1%,0%,2%,0%,0%,0%,<1%,<1%,<1%,<1%,<1%,<1%
How satisfied are you with the way things are going in your life these days?,Native Hawaiian or Pacific Islander,<.5%,<.5%,<.5%,0%,<1%,<.5%,0%,0%,0%,4%,<1%,<.5%,0%,0%,5%,<.5%,0%,<1%,<.5%,0%,<.5%,0%,1%,0%,<.5%,<1%,0%,<.5%,2%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Some other race (specify),3%,2%,3%,3%,4%,3%,2%,2%,<1%,14%,2%,3%,1%,2%,6%,7%,<1%,2%,5%,4%,2%,2%,3%,3%,3%,2%,1%,4%,5%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] More than one race,1%,2%,<.5%,0%,2%,1%,<.5%,0%,0%,13%,2%,<.5%,0%,0%,14%,2%,<1%,0%,<1%,2%,2%,1%,<1%,2%,<1%,<1%,<1%,1%,3%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,3%,3%,2%,<.5%,2%,2%,3%,0%,0%,0%,3%,2%,0%,0%,0%,0%,5%,<1%,2%,<1%,3%,<1%,7%,1%,3%,3%,2%,3%,6%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,023",573,435,157,210,331,296,812,106,74,501,519,406,406,75,103,82,107,133,89,403,110,99,153,581,289,484,460,79,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,15%,23%,31%,28%,79%,11%,8%,38%,62%,31%,48%,6%,13%,10%,14%,16%,11%,22%,14%,13%,19%,46%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Democrat,35%,28%,42%,40%,35%,35%,37%,32%,63%,40%,43%,31%,43%,25%,48%,56%,49%,19%,40%,50%,40%,22%,29%,48%,39%,24%,73%,5%,11%,76%
How satisfied are you with the way things are going in your life these days?,Republican,34%,38%,31%,19%,27%,35%,43%,39%,4%,17%,25%,39%,29%,46%,6%,11%,26%,50%,34%,11%,29%,39%,45%,14%,32%,46%,5%,64%,9%,6%
How satisfied are you with the way things are going in your life these days?,Independent,25%,27%,23%,30%,34%,24%,17%,24%,25%,34%,27%,24%,25%,23%,36%,25%,21%,27%,18%,31%,26%,30%,23%,33%,23%,23%,19%,25%,57%,17%
How satisfied are you with the way things are going in your life these days?,Another party,3%,4%,2%,5%,5%,3%,<1%,3%,1%,3%,5%,2%,3%,3%,7%,0%,4%,2%,4%,1%,3%,6%,2%,1%,3%,3%,2%,4%,5%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,3%,3%,6%,<1%,3%,2%,2%,7%,6%,1%,4%,<1%,3%,3%,8%,0%,2%,3%,7%,3%,4%,<1%,4%,2%,3%,<1%,2%,18%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Donald Trump,39%,48%,31%,19%,36%,43%,47%,45%,6%,22%,29%,45%,32%,53%,13%,13%,31%,59%,36%,14%,33%,48%,53%,21%,37%,51%,2%,79%,9%,2%
How satisfied are you with the way things are going in your life these days?,Joe Biden,43%,36%,49%,38%,47%,44%,44%,41%,63%,37%,59%,34%,60%,30%,59%,49%,59%,23%,43%,57%,53%,35%,32%,54%,49%,29%,88%,5%,22%,91%
How satisfied are you with the way things are going in your life these days?,I did not vote,14%,12%,16%,39%,12%,10%,7%,10%,27%,34%,8%,17%,7%,13%,16%,36%,8%,13%,15%,20%,11%,17%,14%,18%,11%,16%,9%,13%,42%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Someone else,1%,2%,<1%,2%,2%,<1%,<1%,1%,0%,3%,2%,1%,1%,2%,4%,0%,1%,4%,1%,2%,1%,<1%,0%,2%,<1%,2%,<.5%,2%,4%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,2%,3%,3%,3%,2%,<1%,2%,4%,4%,2%,3%,<1%,3%,8%,2%,2%,<1%,5%,7%,2%,0%,1%,4%,2%,2%,<.5%,<1%,23%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Donald Trump,45%,54%,37%,31%,41%,48%,50%,50%,9%,34%,31%,54%,34%,61%,15%,20%,33%,68%,42%,17%,36%,57%,62%,26%,41%,61%,2%,91%,15%,2%
How satisfied are you with the way things are going in your life these days?,Joe Biden,50%,41%,58%,61%,54%,49%,48%,46%,86%,56%,64%,41%,64%,34%,70%,77%,64%,26%,51%,71%,60%,42%,37%,66%,55%,34%,97%,5%,38%,97%
How satisfied are you with the way things are going in your life these days?,[VOL] Someone else,2%,2%,<1%,3%,3%,1%,1%,2%,0%,5%,2%,1%,1%,2%,5%,0%,1%,5%,1%,2%,1%,<1%,0%,3%,<1%,2%,<1%,2%,8%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,2%,4%,5%,3%,3%,1%,2%,5%,6%,2%,3%,1%,3%,10%,3%,2%,<1%,6%,9%,2%,0%,1%,5%,3%,2%,<.5%,1%,40%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,739,421,303,84,159,254,226,624,60,38,404,334,343,281,50,48,63,77,97,59,296,72,75,106,430,203,386,318,35,331
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,50%,11%,24%,33%,30%,83%,9%,6%,40%,60%,33%,49%,6%,9%,11%,14%,16%,11%,23%,13%,13%,18%,49%,34%,47%,48%,6%,39%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If not supporting Biden) Would you say there’s some chance you will support Joe Biden or not really any chance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If not supporting Biden) Would you say there’s some chance you will support Joe Biden or not really any chance?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If not supporting Biden) Would you say there’s some chance you will support Joe Biden or not really any chance?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Some chance,5%,4%,6%,10%,4%,3%,5%,4%,6%,15%,3%,6%,3%,5%,7%,11%,1%,3%,6%,13%,4%,5%,4%,11%,4%,3%,0%,4%,37%,0%
How satisfied are you with the way things are going in your life these days?,Not really any chance,49%,57%,42%,40%,48%,54%,49%,52%,25%,43%,37%,56%,37%,62%,30%,33%,34%,74%,52%,29%,41%,51%,61%,31%,45%,64%,0%,95%,47%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,1%,2%,3%,<1%,2%,2%,1%,4%,1%,1%,2%,<1%,2%,5%,2%,0%,0%,0%,4%,3%,3%,2%,2%,<1%,2%,0%,<1%,16%,0%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Joe Biden,44%,37%,51%,47%,48%,42%,45%,42%,65%,40%,58%,36%,59%,32%,57%,54%,65%,24%,42%,55%,52%,41%,33%,56%,50%,30%,100%,0%,0%,100%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If not supporting Trump)  Would you say there’s some chance you will support Donald Trump or not really any chance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If not supporting Trump)  Would you say there’s some chance you will support Donald Trump or not really any chance?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
