itm,v1,u_s_likely_electorate_u_s_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden
(Ask only split A and Harris made divide worse) (Combined) Has Kamala Harris made the partisan divide a lot worse or only a little bit worse?,A lot worse,26%,30%,23%,23%,18%,29%,31%,31%,8%,18%,21%,31%,15%,19%,31%,20%,39%,15%,14%,24%,22%,30%,26%,1%,53%,5%,2%,54%,22%,3%
(Ask only split A and Harris made divide worse) (Combined) Has Kamala Harris made the partisan divide a lot worse or only a little bit worse?,A little bit worse,11%,13%,10%,16%,14%,11%,7%,13%,4%,10%,8%,13%,7%,13%,10%,16%,11%,5%,9%,12%,9%,13%,10%,3%,18%,20%,5%,15%,14%,6%
(Ask only split A and Harris made divide worse) (Combined) Has Kamala Harris made the partisan divide a lot worse or only a little bit worse?,[VOL] Don't know/Refused,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,0%,0%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,<.5%,0%
(Ask only split A and Harris made divide worse) (Combined) Has Kamala Harris made the partisan divide a lot worse or only a little bit worse?,[PREVIOUSLY] Kamala Harris makes the partisan divide in this country worse,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
(Ask only split A and Harris made divide worse) (Combined) Has Kamala Harris made the partisan divide a lot worse or only a little bit worse?,[PREVIOUSLY] Kamala Harris makes the partisan divide in this country better,30%,25%,36%,25%,23%,34%,36%,27%,54%,35%,28%,27%,40%,33%,29%,32%,23%,34%,44%,27%,31%,29%,35%,59%,3%,18%,61%,8%,25%,56%
(Ask only split A and Harris made divide worse) (Combined) Has Kamala Harris made the partisan divide a lot worse or only a little bit worse?,[PREVIOUSLY] Kamala Harris does not have an impact on the partisan divide in this country,28%,29%,27%,35%,40%,25%,21%,27%,27%,29%,38%,27%,31%,33%,25%,30%,25%,42%,25%,33%,34%,24%,26%,34%,22%,41%,30%,20%,36%,32%
(Ask only split A and Harris made divide worse) (Combined) Has Kamala Harris made the partisan divide a lot worse or only a little bit worse?,[PREVIOUSLY] Don't know/Refused,4%,3%,4%,1%,6%,1%,5%,2%,8%,7%,4%,2%,6%,2%,4%,2%,2%,4%,8%,4%,4%,4%,2%,3%,3%,16%,2%,3%,2%,3%
(Ask only split A and Harris made divide worse) (Combined) Has Kamala Harris made the partisan divide a lot worse or only a little bit worse?,Number of respondents,983,489,483,174,205,326,251,658,110,105,81,658,296,489,489,349,307,127,166,214,228,324,217,491,452,40,312,287,330,451
"(Ask only split B)  Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with the following statement. Donald Trump is just too old to be an effective president.",Strongly agree,27%,21%,32%,27%,25%,24%,32%,25%,41%,28%,27%,25%,32%,31%,25%,30%,22%,34%,33%,23%,32%,25%,29%,53%,<1%,18%,56%,2%,24%,51%
"(Ask only split B)  Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with the following statement. Donald Trump is just too old to be an effective president.",Somewhat agree,14%,14%,14%,22%,17%,13%,9%,12%,23%,17%,15%,12%,19%,17%,12%,14%,11%,24%,16%,17%,17%,10%,15%,24%,5%,13%,19%,3%,20%,22%
"(Ask only split B)  Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with the following statement. Donald Trump is just too old to be an effective president.",Somewhat disagree,16%,17%,15%,23%,20%,12%,14%,16%,16%,13%,17%,16%,15%,17%,15%,17%,15%,18%,13%,16%,18%,15%,15%,14%,15%,36%,13%,13%,21%,15%
"(Ask only split B)  Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with the following statement. Donald Trump is just too old to be an effective president.",Strongly disagree,42%,46%,39%,28%,37%,49%,44%,46%,14%,41%,42%,46%,32%,35%,47%,39%,52%,23%,36%,43%,33%,49%,40%,7%,79%,30%,10%,82%,34%,10%
"(Ask only split B)  Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with the following statement. Donald Trump is just too old to be an effective president.",[VOL] Don’t know/Refused,1%,1%,1%,0%,1%,2%,<1%,<1%,5%,<1%,0%,<1%,2%,<1%,1%,<.5%,<1%,2%,3%,<1%,<.5%,2%,1%,2%,<.5%,3%,2%,<.5%,<1%,1%
"(Ask only split B)  Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with the following statement. Donald Trump is just too old to be an effective president.",NET Agree,41%,35%,46%,49%,42%,37%,41%,37%,65%,46%,41%,37%,51%,47%,37%,44%,33%,57%,49%,41%,49%,35%,44%,77%,6%,31%,75%,4%,44%,73%
"(Ask only split B)  Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with the following statement. Donald Trump is just too old to be an effective president.",NET Disagree,58%,64%,53%,51%,57%,62%,58%,62%,30%,53%,59%,62%,46%,52%,62%,56%,66%,41%,49%,58%,51%,64%,55%,21%,94%,66%,23%,95%,55%,25%
"(Ask only split B)  Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with the following statement. Donald Trump is just too old to be an effective president.",Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
"Do you think Donald Trump is good for democracy, bad for democracy, or neither good nor bad for democracy?",Good for democracy,37%,42%,34%,28%,33%,40%,41%,44%,6%,27%,37%,44%,22%,29%,42%,30%,53%,24%,20%,40%,29%,43%,33%,<1%,76%,10%,3%,79%,30%,3%
"Do you think Donald Trump is good for democracy, bad for democracy, or neither good nor bad for democracy?",Bad for democracy,46%,38%,53%,47%,47%,43%,47%,42%,76%,45%,45%,42%,56%,55%,39%,54%,33%,59%,56%,43%,53%,40%,50%,91%,1%,36%,89%,5%,45%,87%
"Do you think Donald Trump is good for democracy, bad for democracy, or neither good nor bad for democracy?",Neither good nor bad for democracy,16%,19%,13%,24%,19%,16%,12%,14%,17%,26%,18%,14%,20%,15%,17%,15%,13%,16%,22%,15%,16%,16%,17%,8%,22%,45%,8%,15%,24%,9%
"Do you think Donald Trump is good for democracy, bad for democracy, or neither good nor bad for democracy?",[VOL] Don’t know/Refused,1%,1%,<1%,<.5%,2%,<1%,<1%,<1%,2%,3%,<.5%,<1%,2%,<1%,1%,<.5%,<1%,<1%,2%,2%,2%,1%,<.5%,<1%,<1%,8%,<.5%,<1%,1%,<1%
"Do you think Donald Trump is good for democracy, bad for democracy, or neither good nor bad for democracy?",Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
"(If Trump bad for democracy, asked of half of group) Which statement comes closer to your view, even if neither is exactly right?",Donald Trump poses a unique threat to democracy,93%,92%,93%,89%,90%,95%,92%,95%,87%,85%,98%,95%,89%,94%,91%,95%,94%,93%,87%,91%,96%,91%,93%,93%,75%,92%,92%,80%,97%,94%
"(If Trump bad for democracy, asked of half of group) Which statement comes closer to your view, even if neither is exactly right?",Donald Trump is not much worse for democracy than typical politicians,5%,5%,6%,11%,8%,2%,5%,4%,9%,10%,2%,4%,8%,5%,6%,4%,4%,7%,8%,7%,4%,6%,5%,5%,19%,8%,6%,20%,3%,4%
"(If Trump bad for democracy, asked of half of group) Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,2%,4%,<1%,0%,2%,2%,3%,1%,4%,5%,0%,1%,3%,<1%,3%,1%,1%,<.5%,5%,3%,0%,3%,2%,2%,5%,0%,2%,0%,<.5%,2%
"(If Trump bad for democracy, asked of half of group) Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,486,217,261,86,101,146,137,300,92,45,37,300,174,258,227,173,127,78,96,99,126,161,100,466,7,13,295,19,150,393
(If Trump unique threat) Do you think American democracy is strong enough to withstand another Donald Trump presidency?,American democracy is strong enough,28%,34%,23%,27%,35%,26%,25%,32%,5%,32%,45%,32%,21%,35%,22%,38%,25%,27%,17%,21%,39%,25%,27%,28%,35%,45%,28%,21%,30%,27%
(If Trump unique threat) Do you think American democracy is strong enough to withstand another Donald Trump presidency?,American democracy is not strong enough,65%,62%,67%,71%,60%,66%,67%,61%,85%,68%,49%,61%,73%,57%,71%,53%,69%,69%,75%,72%,54%,67%,68%,66%,25%,43%,64%,68%,66%,65%
(If Trump unique threat) Do you think American democracy is strong enough to withstand another Donald Trump presidency?,[VOL] Don't know/Refused,7%,4%,9%,3%,5%,7%,8%,7%,10%,0%,6%,7%,7%,7%,7%,9%,6%,4%,8%,7%,7%,8%,5%,6%,40%,12%,8%,10%,4%,8%
(If Trump unique threat) Do you think American democracy is strong enough to withstand another Donald Trump presidency?,Number of respondents,449,197,244,74,91,140,129,282,83,38,35,282,156,241,207,165,117,69,87,91,120,145,93,433,4,12,274,15,141,372
"Do you think Kamala Harris is good for democracy, bad for democracy, or neither good nor bad for democracy?",Good for democracy,40%,34%,46%,35%,37%,40%,45%,36%,68%,43%,35%,36%,50%,46%,36%,45%,30%,49%,52%,38%,45%,35%,45%,77%,5%,18%,82%,7%,34%,75%
"Do you think Kamala Harris is good for democracy, bad for democracy, or neither good nor bad for democracy?",Bad for democracy,36%,39%,32%,27%,31%,39%,39%,42%,7%,23%,36%,42%,21%,29%,40%,31%,49%,21%,20%,36%,24%,43%,33%,2%,71%,18%,4%,73%,30%,5%
"Do you think Kamala Harris is good for democracy, bad for democracy, or neither good nor bad for democracy?",Neither good nor bad for democracy,23%,26%,20%,38%,31%,20%,14%,21%,22%,31%,29%,21%,27%,24%,22%,23%,20%,29%,26%,24%,29%,20%,21%,20%,24%,57%,14%,19%,35%,19%
"Do you think Kamala Harris is good for democracy, bad for democracy, or neither good nor bad for democracy?",[VOL] Don’t know/Refused,1%,1%,1%,<.5%,1%,1%,2%,<1%,4%,2%,<.5%,<1%,2%,<1%,2%,<1%,1%,<1%,3%,2%,2%,2%,<.5%,1%,1%,7%,<1%,<1%,1%,1%
"Do you think Kamala Harris is good for democracy, bad for democracy, or neither good nor bad for democracy?",Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
"(If Harris bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",Kamala Harris poses a unique threat to democracy,79%,75%,82%,71%,74%,78%,83%,78%,66%,73%,82%,78%,76%,76%,79%,75%,80%,78%,75%,81%,71%,82%,73%,18%,81%,43%,48%,85%,68%,35%
"(If Harris bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",Kamala Harris is not much worse for democracy than typical politicians,19%,22%,15%,28%,25%,19%,14%,20%,34%,18%,15%,20%,18%,22%,18%,25%,18%,16%,21%,17%,25%,15%,25%,82%,17%,46%,52%,13%,29%,61%
"(If Harris bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,2%,2%,3%,1%,1%,3%,3%,2%,0%,9%,3%,2%,5%,2%,3%,<1%,2%,6%,5%,1%,4%,3%,2%,0%,2%,11%,0%,2%,3%,4%
"(If Harris bad for democracy) Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,689,371,313,97,127,259,179,539,20,55,51,539,126,278,404,218,316,51,74,149,107,294,139,24,650,15,22,439,191,43
(If Harris unique threat) Do you think American democracy is strong enough to withstand a Kamala Harris presidency?,American democracy is strong enough,21%,30%,11%,15%,17%,23%,22%,22%,31%,12%,16%,22%,16%,25%,19%,27%,20%,21%,13%,18%,29%,21%,19%,100%,20%,7%,34%,20%,22%,30%
(If Harris unique threat) Do you think American democracy is strong enough to withstand a Kamala Harris presidency?,American democracy is not strong enough,71%,62%,81%,78%,72%,72%,69%,70%,31%,82%,76%,70%,73%,65%,75%,60%,76%,79%,69%,76%,64%,69%,77%,0%,72%,63%,66%,72%,68%,63%
(If Harris unique threat) Do you think American democracy is strong enough to withstand a Kamala Harris presidency?,[VOL] Don't know/Refused,8%,8%,8%,7%,12%,5%,9%,7%,37%,7%,8%,7%,11%,10%,6%,13%,4%,0%,18%,6%,7%,11%,4%,0%,8%,29%,0%,8%,10%,7%
(If Harris unique threat) Do you think American democracy is strong enough to withstand a Kamala Harris presidency?,Number of respondents,535,280,252,68,92,202,149,420,11,42,39,420,92,214,314,166,249,39,52,122,76,237,100,3,525,7,11,369,131,15
(Ask only split B)  What comes closer to your view about Donald Trump's actions after the 2020 election?,He was just exercising his right to contest the election,47%,55%,39%,42%,42%,51%,48%,51%,11%,40%,56%,51%,34%,37%,53%,39%,60%,31%,36%,48%,43%,53%,38%,6%,89%,31%,9%,88%,40%,8%
(Ask only split B)  What comes closer to your view about Donald Trump's actions after the 2020 election?,He went so far that he threatened American democracy,50%,42%,58%,54%,53%,46%,51%,46%,86%,58%,44%,46%,64%,60%,44%,58%,37%,68%,61%,47%,56%,44%,57%,92%,8%,58%,90%,8%,56%,91%
(Ask only split B)  What comes closer to your view about Donald Trump's actions after the 2020 election?,[VOL] Don't know/Refused,3%,3%,3%,3%,5%,3%,<1%,3%,3%,2%,<1%,3%,2%,3%,3%,3%,4%,1%,3%,5%,<1%,2%,4%,2%,4%,11%,<1%,3%,4%,1%
(Ask only split B)  What comes closer to your view about Donald Trump's actions after the 2020 election?,Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
"(Ask only split B)  Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has committed serious federal crimes,51%,44%,58%,66%,55%,45%,51%,46%,85%,61%,51%,46%,67%,60%,46%,57%,39%,72%,64%,47%,56%,46%,60%,93%,10%,49%,93%,10%,55%,89%
"(Ask only split B)  Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has not committed serious federal crimes,42%,49%,37%,29%,34%,50%,45%,49%,8%,27%,48%,49%,26%,34%,48%,38%,56%,24%,27%,47%,37%,48%,34%,3%,83%,30%,4%,86%,36%,6%
"(Ask only split B)  Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",[VOL] Don't know/Refused,6%,7%,5%,5%,11%,4%,4%,5%,7%,12%,1%,5%,7%,5%,6%,6%,5%,4%,8%,6%,7%,6%,6%,4%,6%,21%,3%,4%,9%,5%
"(Ask only split B)  Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
"(Ask only split B)  Which comes closest to your views, even if neither is exactly right?","Presidents should do what they think is best, even if that might go outside of existing rules",21%,23%,20%,32%,21%,19%,19%,21%,25%,21%,19%,21%,22%,14%,27%,13%,27%,16%,26%,24%,20%,25%,15%,12%,31%,19%,12%,33%,20%,11%
"(Ask only split B)  Which comes closest to your views, even if neither is exactly right?","Presidents should follow existing rules, even if that prevents them from doing what they think is best",73%,71%,75%,61%,73%,76%,75%,74%,69%,74%,73%,74%,72%,80%,68%,81%,68%,80%,68%,71%,78%,66%,81%,84%,62%,74%,85%,58%,76%,85%
"(Ask only split B)  Which comes closest to your views, even if neither is exactly right?",[VOL] Don't know/Refused,6%,6%,6%,7%,5%,5%,6%,5%,6%,5%,8%,5%,6%,6%,6%,5%,5%,4%,7%,5%,2%,9%,5%,4%,7%,8%,3%,9%,4%,4%
"(Ask only split B)  Which comes closest to your views, even if neither is exactly right?",Number of respondents,"1,114",524,578,197,242,375,259,751,138,121,77,751,336,526,580,373,375,142,191,230,212,422,250,565,495,54,365,330,343,489
"Which statement comes closer to your view, even if neither is exactly right?",Our problems are so bad that America is in danger of failing as a nation,36%,34%,37%,38%,37%,37%,32%,38%,23%,33%,36%,38%,30%,32%,38%,33%,42%,30%,30%,39%,29%,40%,33%,15%,57%,32%,16%,57%,34%,16%
"Which statement comes closer to your view, even if neither is exactly right?","Our problems are bad, but America is not in danger of failing as a nation any time soon",24%,29%,20%,27%,27%,24%,22%,25%,20%,21%,26%,25%,22%,24%,24%,25%,26%,23%,22%,24%,25%,23%,26%,17%,31%,29%,17%,28%,28%,18%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,2%,2%,3%,1%,2%,2%,3%,3%,<.5%,2%,<1%,3%,1%,1%,3%,1%,3%,<.5%,1%,2%,<1%,3%,2%,<1%,4%,3%,<.5%,4%,2%,<.5%
"Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Country is on the right track,28%,27%,29%,24%,23%,27%,34%,26%,40%,33%,28%,26%,34%,33%,24%,32%,21%,37%,32%,26%,35%,23%,31%,52%,5%,16%,54%,8%,25%,51%
"Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,10%,9%,11%,9%,11%,10%,9%,8%,16%,11%,10%,8%,13%,9%,10%,9%,8%,9%,15%,10%,10%,11%,8%,16%,3%,21%,13%,3%,11%,15%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
What single news source do you turn to most often?,[VOL] Social media,16%,18%,15%,33%,26%,13%,5%,14%,16%,21%,24%,14%,20%,16%,17%,14%,15%,23%,19%,16%,17%,15%,17%,14%,18%,25%,14%,15%,19%,14%
What single news source do you turn to most often?,[VOL] Fox News,14%,14%,14%,10%,8%,13%,20%,16%,3%,9%,16%,16%,8%,9%,17%,10%,21%,8%,9%,16%,11%,16%,10%,1%,27%,0%,1%,32%,8%,<1%
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",12%,12%,12%,5%,8%,12%,17%,10%,20%,17%,8%,10%,15%,10%,12%,11%,10%,9%,19%,12%,11%,12%,11%,15%,7%,28%,17%,8%,10%,16%
What single news source do you turn to most often?,[VOL] CNN,9%,9%,10%,7%,7%,12%,8%,8%,17%,9%,8%,8%,12%,11%,9%,9%,8%,15%,10%,5%,13%,9%,10%,16%,3%,5%,16%,4%,8%,16%
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",7%,6%,8%,10%,11%,5%,5%,8%,4%,4%,6%,8%,4%,12%,3%,15%,3%,8%,3%,7%,12%,5%,5%,11%,4%,2%,10%,3%,9%,11%
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",5%,3%,7%,5%,3%,7%,5%,4%,9%,5%,4%,4%,6%,4%,5%,4%,5%,5%,7%,5%,6%,4%,5%,6%,4%,<.5%,6%,4%,4%,5%
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,5%,4%,5%,2%,4%,5%,5%,5%,3%,2%,2%,5%,2%,7%,2%,9%,3%,4%,2%,4%,3%,5%,7%,8%,2%,0%,8%,1%,5%,8%
What single news source do you turn to most often?,[VOL] MSNBC,4%,3%,5%,1%,2%,4%,7%,4%,8%,4%,4%,4%,6%,3%,5%,3%,4%,5%,6%,4%,6%,4%,3%,8%,<.5%,0%,10%,<.5%,3%,8%
What single news source do you turn to most often?,[VOL] Newsmax,3%,3%,2%,<.5%,2%,3%,5%,4%,2%,<.5%,0%,4%,<1%,<1%,4%,1%,5%,<.5%,<1%,3%,<.5%,4%,2%,<.5%,6%,0%,0%,6%,2%,<.5%
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",2%,2%,3%,3%,4%,2%,2%,2%,2%,3%,3%,2%,3%,2%,2%,2%,2%,3%,3%,2%,1%,3%,4%,3%,2%,2%,2%,2%,3%,2%
What single news source do you turn to most often?,[VOL] Conservative news sites,2%,3%,2%,5%,2%,2%,2%,3%,<1%,<1%,2%,3%,1%,2%,2%,3%,2%,<1%,1%,3%,1%,2%,3%,0%,4%,2%,0%,4%,3%,0%
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,2%,2%,3%,4%,2%,1%,2%,<1%,4%,6%,2%,3%,3%,2%,3%,1%,4%,3%,2%,3%,2%,2%,3%,1%,6%,2%,<1%,3%,3%
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,<1%,<1%,<1%,0%,<.5%,<1%,1%,<1%,<.5%,0%,0%,<1%,<.5%,<.5%,<1%,<1%,1%,<.5%,0%,<1%,1%,<1%,<.5%,0%,1%,1%,0%,1%,<1%,0%
What single news source do you turn to most often?,[VOL] Local print or online news organizations,<1%,<1%,<1%,0%,1%,<.5%,<1%,<1%,<.5%,<.5%,1%,<1%,<1%,1%,<.5%,1%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,1%,<1%,<.5%,0%,<1%,<.5%,<1%,<1%
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<1%,<1%,<.5%,0%,<1%,<.5%,<1%,<.5%,<1%,<1%,1%,0%,<1%,1%,<.5%,<1%,1%,0%,0%,1%,0%,<.5%,1%
What single news source do you turn to most often?,[VOL] Friends and family,<.5%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<1%,<.5%,0%,0%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,0%,1%,<.5%,<.5%,<.5%,<.5%,<1%,3%,<.5%,<1%,<.5%,<.5%
What single news source do you turn to most often?,[VOL] Doesn’t consume news,2%,3%,2%,2%,2%,4%,<.5%,2%,2%,2%,2%,2%,2%,2%,2%,1%,3%,3%,1%,1%,1%,3%,2%,1%,3%,2%,<1%,3%,2%,1%
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),9%,11%,8%,7%,9%,9%,10%,8%,6%,15%,8%,8%,10%,9%,9%,9%,8%,8%,11%,9%,8%,9%,11%,7%,11%,14%,7%,9%,12%,8%
What single news source do you turn to most often?,[VOL] Don't know/Refused,6%,6%,5%,6%,5%,6%,5%,6%,5%,4%,5%,6%,5%,4%,7%,4%,7%,5%,4%,7%,3%,5%,6%,4%,7%,9%,4%,5%,7%,4%
What single news source do you turn to most often?,Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
"Are you, or is any member of your household, a member of a labor union?","Yes, you are a member",6%,8%,4%,3%,6%,8%,5%,6%,5%,5%,6%,6%,5%,6%,6%,5%,7%,6%,5%,9%,7%,3%,6%,6%,5%,8%,7%,4%,6%,7%
"Are you, or is any member of your household, a member of a labor union?","Yes, another member of your household is a member",5%,5%,6%,9%,4%,5%,5%,5%,7%,7%,4%,5%,6%,6%,5%,6%,4%,6%,6%,5%,9%,3%,6%,6%,5%,10%,6%,4%,6%,6%
"Are you, or is any member of your household, a member of a labor union?","Yes, you and another member of your household are members",2%,2%,2%,1%,2%,2%,2%,2%,3%,<1%,2%,2%,2%,1%,2%,1%,2%,<1%,3%,2%,3%,<1%,4%,3%,1%,2%,3%,2%,1%,3%
"Are you, or is any member of your household, a member of a labor union?",No,85%,84%,87%,84%,87%,84%,87%,86%,84%,85%,85%,86%,85%,85%,86%,86%,86%,85%,85%,81%,80%,93%,82%,84%,87%,79%,83%,88%,85%,83%
"Are you, or is any member of your household, a member of a labor union?",[VOL] Don’t know/Refused,1%,1%,1%,3%,1%,<1%,1%,<1%,2%,2%,3%,<1%,2%,2%,<1%,1%,<1%,2%,1%,2%,2%,<1%,2%,2%,1%,1%,<1%,2%,1%,1%
"Are you, or is any member of your household, a member of a labor union?",Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
And just a few more questions for demographic purposes...,Very liberal,10%,5%,13%,17%,11%,7%,9%,10%,11%,10%,12%,10%,11%,13%,8%,14%,7%,12%,10%,10%,12%,6%,13%,19%,1%,6%,22%,2%,6%,19%
And just a few more questions for demographic purposes...,Somewhat liberal,14%,11%,16%,20%,17%,12%,11%,13%,12%,22%,17%,13%,17%,16%,13%,16%,10%,15%,18%,12%,17%,12%,15%,24%,4%,10%,28%,2%,11%,24%
And just a few more questions for demographic purposes...,Moderate,34%,35%,35%,33%,35%,39%,29%,34%,43%,28%,37%,34%,36%,38%,32%,35%,32%,47%,30%,34%,41%,31%,35%,42%,25%,48%,36%,14%,55%,42%
And just a few more questions for demographic purposes...,Somewhat conservative,20%,26%,16%,16%,18%,22%,24%,21%,15%,26%,18%,21%,20%,17%,23%,18%,23%,13%,23%,22%,14%,23%,20%,9%,32%,19%,9%,36%,17%,9%
And just a few more questions for demographic purposes...,Very conservative,18%,20%,16%,12%,13%,17%,25%,20%,12%,12%,10%,20%,11%,14%,21%,15%,24%,9%,12%,18%,14%,23%,13%,3%,34%,7%,3%,42%,9%,3%
And just a few more questions for demographic purposes...,[VOL] Don't know/Refused,4%,3%,4%,3%,6%,2%,2%,3%,7%,2%,6%,3%,5%,2%,4%,2%,3%,3%,6%,4%,3%,4%,3%,3%,4%,10%,2%,4%,3%,3%
And just a few more questions for demographic purposes...,Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
Which of the following general income categories is your total household income before taxes?,"Under $25,000",8%,5%,10%,6%,5%,5%,12%,7%,10%,12%,2%,7%,8%,2%,11%,2%,11%,2%,12%,8%,5%,10%,7%,8%,7%,6%,9%,8%,6%,8%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",15%,12%,17%,22%,11%,12%,19%,14%,18%,24%,7%,14%,17%,7%,21%,7%,20%,7%,23%,16%,12%,17%,14%,15%,16%,9%,16%,15%,13%,14%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",29%,30%,28%,37%,27%,26%,32%,29%,31%,26%,31%,29%,29%,24%,33%,24%,34%,26%,31%,31%,29%,29%,26%,30%,28%,32%,32%,29%,27%,29%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",28%,31%,26%,20%,33%,35%,21%,30%,23%,22%,28%,30%,24%,37%,22%,38%,24%,37%,17%,27%,29%,26%,32%,27%,30%,29%,24%,28%,32%,29%
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",12%,14%,11%,7%,19%,16%,7%,12%,10%,9%,24%,12%,13%,21%,7%,21%,6%,22%,9%,9%,17%,10%,16%,14%,11%,8%,13%,11%,15%,14%
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,8%,7%,8%,8%,5%,6%,9%,7%,8%,8%,9%,7%,8%,9%,6%,9%,5%,6%,8%,9%,6%,9%,6%,6%,8%,16%,6%,9%,7%,6%
Which of the following general income categories is your total household income before taxes?,Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
