itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Another party,3%,3%,2%,4%,7%,1%,<.5%,2%,3%,6%,3%,4%,2%,3%,1%,5%,4%,4%,2%,3%,1%,2%,3%,3%,1%,4%,6%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,5%,5%,6%,5%,3%,5%,4%,1%,11%,0%,2%,6%,2%,5%,2%,7%,5%,5%,6%,2%,5%,5%,4%,2%,4%,19%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,34%,36%,32%,17%,27%,45%,36%,43%,4%,20%,24%,27%,38%,32%,49%,16%,15%,39%,29%,35%,30%,22%,27%,48%,<.5%,68%,9%,2%,74%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,44%,41%,46%,44%,42%,39%,51%,40%,67%,41%,51%,58%,35%,57%,30%,60%,48%,38%,48%,40%,51%,54%,49%,31%,85%,10%,28%,87%,8%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",I did not vote,18%,17%,18%,36%,23%,11%,10%,13%,24%,32%,18%,12%,21%,8%,16%,20%,29%,17%,20%,19%,15%,19%,20%,14%,14%,18%,32%,10%,16%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else,2%,3%,1%,1%,3%,2%,<.5%,2%,<1%,2%,4%,2%,2%,2%,2%,2%,2%,4%,<1%,<1%,2%,<.5%,2%,3%,<1%,1%,10%,<1%,<.5%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,3%,2%,4%,3%,3%,2%,5%,5%,2%,2%,4%,<1%,3%,2%,6%,2%,3%,6%,1%,5%,3%,3%,0%,3%,21%,0%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,41%,43%,39%,26%,35%,50%,40%,49%,6%,30%,30%,30%,48%,35%,58%,20%,22%,47%,36%,43%,36%,27%,34%,56%,<1%,83%,14%,3%,88%,35%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,53%,50%,56%,69%,55%,44%,56%,46%,87%,60%,63%,66%,45%,62%,36%,75%,67%,46%,59%,49%,60%,67%,61%,37%,99%,12%,41%,96%,10%,55%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else,2%,3%,1%,2%,4%,2%,<.5%,2%,<1%,3%,5%,2%,2%,2%,2%,3%,3%,5%,<1%,1%,3%,<.5%,2%,3%,<1%,2%,14%,<1%,<1%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,4%,4%,3%,5%,3%,4%,3%,6%,7%,2%,2%,5%,<1%,4%,2%,8%,2%,4%,7%,2%,6%,3%,4%,0%,3%,31%,0%,2%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,685,349,328,85,162,252,153,467,67,86,49,343,340,239,227,96,106,146,144,234,161,152,289,244,304,331,50,219,203,221
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,12%,22%,34%,28%,69%,10%,12%,7%,40%,60%,27%,42%,12%,17%,22%,20%,35%,24%,21%,41%,37%,44%,48%,8%,32%,30%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the 2024 presidential primaries and caucuses did you or do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the 2024 presidential primaries and caucuses did you or do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the 2024 presidential primaries and caucuses did you or do you think you will vote in the Republican primary or the Democratic primary, or are you unlikely to vote in a presidential primary or caucus?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Democratic primary,28%,22%,33%,31%,23%,26%,33%,24%,54%,28%,28%,34%,24%,33%,18%,37%,37%,20%,28%,27%,36%,34%,32%,19%,59%,4%,7%,71%,2%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Republican primary,36%,37%,34%,24%,31%,42%,38%,42%,13%,25%,27%,31%,38%,36%,46%,21%,22%,37%,28%,41%,32%,22%,32%,48%,8%,64%,17%,5%,75%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Unlikely to vote in primary or caucus,28%,32%,24%,36%,36%,25%,20%,26%,22%,37%,36%,28%,28%,26%,27%,32%,30%,33%,35%,24%,25%,35%,28%,25%,28%,25%,47%,20%,17%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,9%,9%,8%,9%,9%,8%,9%,7%,11%,10%,9%,7%,10%,6%,9%,9%,11%,10%,9%,8%,6%,9%,8%,8%,6%,7%,29%,4%,6%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Republican primary voter)  If the election for the Republican nominee for president were held today, which candidate would you be MOST likely to vote for?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,77%,77%,76%,76%,78%,77%,71%,76%,87%,80%,64%,62%,83%,56%,85%,82%,74%,85%,80%,74%,71%,76%,74%,79%,6%,88%,0%,72%,83%,65%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Nikki Haley,20%,19%,22%,19%,18%,20%,27%,21%,8%,20%,31%,36%,13%,42%,11%,18%,22%,12%,18%,24%,24%,22%,23%,18%,89%,10%,76%,28%,16%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else (specify),1%,<1%,1%,3%,0%,<1%,<1%,<1%,0%,0%,5%,1%,<1%,2%,<1%,0%,2%,0%,0%,<.5%,4%,2%,2%,0%,5%,<.5%,6%,0%,<.5%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,2%,1%,2%,4%,2%,1%,2%,5%,0%,0%,0%,3%,0%,3%,0%,2%,3%,2%,2%,<1%,0%,<1%,3%,0%,1%,18%,0%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,292,155,134,30,59,115,71,220,15,32,17,120,170,91,128,26,38,62,44,119,67,47,108,137,28,250,14,13,181,79
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,51%,49%,11%,20%,37%,27%,78%,4%,10%,5%,33%,67%,25%,53%,7%,12%,22%,16%,41%,21%,14%,38%,48%,9%,86%,4%,4%,62%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  If the election for Democratic nominee for president were held today, which candidate would you be most likely to vote for?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  If the election for Democratic nominee for president were held today, which candidate would you be most likely to vote for?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  If the election for Democratic nominee for president were held today, which candidate would you be most likely to vote for?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,77%,83%,73%,76%,69%,84%,76%,78%,77%,78%,76%,77%,78%,77%,79%,77%,77%,63%,80%,78%,83%,79%,77%,77%,83%,29%,19%,85%,0%,58%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Marianne Williamson *,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Dean Phillips,12%,10%,13%,21%,16%,8%,7%,12%,12%,12%,9%,14%,10%,19%,5%,6%,15%,16%,13%,11%,9%,16%,10%,10%,9%,38%,26%,8%,33%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else (specify),1%,<1%,2%,2%,3%,1%,0%,0%,1%,0%,15%,2%,<1%,0%,0%,6%,1%,0%,2%,<1%,2%,1%,2%,0%,<.5%,6%,25%,1%,0%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,10%,6%,12%,1%,12%,7%,17%,10%,9%,11%,0%,7%,12%,5%,16%,11%,7%,21%,5%,10%,6%,4%,11%,13%,8%,27%,30%,6%,67%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,224,88,133,41,50,73,52,128,44,33,17,126,98,81,47,44,50,36,56,67,65,63,108,53,201,17,6,170,3,46
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,39%,60%,18%,20%,29%,30%,56%,22%,15%,7%,46%,54%,29%,27%,16%,27%,15%,21%,34%,30%,26%,49%,24%,91%,7%,3%,75%,2%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  Regardless of who you prefer in the Democratic primary, do you think Joe Biden should be the Democratic Party’s nominee for president in 2024, or should there be a different Democratic nominee for president in 2024?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  Regardless of who you prefer in the Democratic primary, do you think Joe Biden should be the Democratic Party’s nominee for president in 2024, or should there be a different Democratic nominee for president in 2024?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Democratic primary voter)  Regardless of who you prefer in the Democratic primary, do you think Joe Biden should be the Democratic Party’s nominee for president in 2024, or should there be a different Democratic nominee for president in 2024?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden should be the Democratic nominee,46%,50%,43%,32%,25%,63%,52%,47%,50%,44%,39%,42%,50%,45%,49%,38%,51%,35%,47%,44%,54%,37%,46%,57%,50%,7%,0%,52%,0%,33%
