itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,40%,51%,31%,22%,39%,46%,40%,47%,11%,27%,19%,31%,46%,35%,55%,20%,19%,39%,33%,45%,40%,28%,36%,54%,1%,81%,21%,3%,82%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,46%,36%,55%,49%,47%,44%,51%,41%,77%,50%,59%,59%,38%,57%,30%,64%,60%,45%,56%,40%,48%,61%,50%,32%,89%,8%,23%,88%,5%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",I did not vote,9%,6%,11%,25%,10%,7%,5%,8%,6%,16%,16%,4%,12%,4%,11%,6%,17%,10%,7%,10%,9%,7%,9%,10%,7%,8%,28%,7%,12%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else,3%,4%,1%,3%,5%,2%,<1%,2%,0%,5%,4%,3%,2%,3%,2%,5%,2%,2%,3%,3%,2%,3%,3%,2%,2%,2%,9%,<.5%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,3%,2%,1%,0%,2%,3%,1%,5%,2%,2%,3%,2%,2%,1%,4%,2%,3%,2%,3%,1%,2%,2%,2%,1%,<1%,20%,1%,<.5%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,44%,54%,35%,30%,43%,49%,42%,51%,12%,32%,22%,32%,52%,36%,62%,22%,22%,44%,35%,50%,44%,30%,39%,59%,1%,89%,29%,4%,93%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,51%,39%,62%,65%,52%,47%,54%,45%,83%,60%,71%,61%,43%,59%,34%,68%,73%,50%,60%,44%,52%,65%,55%,35%,95%,8%,32%,94%,6%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Someone else,3%,4%,2%,4%,5%,2%,<1%,3%,0%,6%,5%,3%,2%,3%,3%,6%,2%,2%,3%,3%,2%,3%,3%,2%,2%,2%,12%,<1%,1%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,3%,2%,1%,0%,2%,3%,1%,5%,2%,2%,3%,2%,2%,1%,4%,3%,4%,2%,3%,1%,2%,2%,3%,1%,<1%,28%,1%,<.5%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,755,383,364,97,192,263,167,531,78,69,48,388,361,279,250,94,99,154,161,275,165,185,312,258,365,347,43,248,194,248
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,10%,21%,34%,29%,70%,10%,9%,7%,42%,56%,30%,40%,11%,15%,21%,21%,34%,24%,23%,43%,34%,47%,47%,5%,34%,27%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,17%,14%,21%,6%,9%,21%,28%,18%,23%,12%,11%,23%,14%,25%,14%,18%,14%,20%,21%,15%,16%,24%,17%,14%,36%,2%,0%,39%,1%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,22%,19%,25%,25%,32%,17%,20%,18%,37%,28%,34%,28%,18%,25%,13%,36%,32%,22%,25%,19%,24%,28%,25%,15%,43%,2%,18%,37%,3%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,11%,7%,14%,26%,12%,8%,6%,8%,15%,26%,18%,10%,11%,8%,8%,16%,21%,8%,14%,10%,13%,13%,11%,11%,14%,7%,17%,15%,6%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,47%,58%,38%,40%,47%,53%,43%,54%,23%,33%,33%,37%,54%,40%,63%,28%,31%,47%,40%,53%,45%,34%,45%,59%,5%,88%,54%,9%,88%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,2%,2%,4%,<1%,1%,2%,2%,3%,1%,4%,2%,2%,2%,2%,2%,2%,2%,<1%,3%,1%,2%,2%,2%,2%,<.5%,11%,2%,2%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,40%,33%,46%,31%,40%,38%,48%,37%,60%,40%,45%,51%,32%,50%,28%,54%,45%,42%,45%,34%,41%,51%,42%,28%,79%,4%,18%,75%,5%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,58%,65%,52%,65%,59%,61%,50%,62%,37%,59%,51%,47%,66%,48%,71%,44%,52%,56%,54%,63%,58%,47%,55%,70%,19%,95%,72%,23%,94%,59%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very favorable,21%,25%,18%,11%,18%,21%,26%,25%,9%,17%,9%,14%,26%,16%,30%,5%,17%,22%,14%,25%,22%,15%,21%,26%,2%,43%,4%,3%,46%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat favorable,22%,27%,18%,23%,25%,25%,17%,24%,12%,25%,8%,18%,24%,19%,27%,14%,15%,22%,19%,26%,19%,15%,17%,33%,2%,42%,21%,4%,41%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat unfavorable,10%,11%,9%,20%,13%,10%,5%,9%,12%,13%,19%,10%,10%,8%,10%,18%,12%,8%,10%,11%,11%,9%,13%,7%,8%,10%,20%,8%,6%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very unfavorable,45%,34%,54%,44%,44%,42%,52%,42%,64%,44%,60%,58%,37%,57%,32%,62%,53%,47%,56%,37%,46%,58%,48%,33%,86%,3%,50%,84%,6%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of,<.5%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,1%,2%,<.5%,2%,<1%,2%,<.5%,1%,2%,1%,3%,<.5%,2%,<.5%,2%,<1%,3%,<1%,2%,2%,<.5%,1%,2%,1%,<1%,1%,5%,<1%,<1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Favorable,44%,52%,36%,34%,42%,46%,44%,48%,22%,42%,17%,32%,51%,35%,56%,19%,32%,45%,33%,50%,42%,31%,38%,59%,4%,85%,25%,7%,87%,39%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Unfavorable,55%,46%,63%,64%,56%,52%,56%,50%,77%,57%,79%,68%,47%,64%,42%,80%,65%,55%,65%,47%,57%,68%,61%,40%,95%,14%,69%,92%,12%,59%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very favorable,17%,14%,21%,5%,9%,20%,29%,17%,23%,11%,23%,20%,16%,21%,14%,17%,20%,18%,23%,14%,17%,24%,18%,12%,35%,2%,<1%,41%,<1%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat favorable,25%,20%,29%,36%,33%,20%,22%,19%,46%,43%,34%,32%,20%,30%,12%,40%,42%,24%,24%,21%,33%,32%,28%,17%,48%,4%,16%,43%,5%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat unfavorable,14%,13%,15%,25%,18%,11%,9%,13%,18%,16%,18%,15%,13%,12%,13%,20%,14%,14%,18%,12%,12%,14%,14%,14%,13%,13%,21%,12%,12%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very unfavorable,41%,51%,32%,32%,39%,48%,37%,48%,13%,29%,23%,33%,47%,36%,57%,23%,21%,39%,35%,50%,36%,29%,39%,52%,3%,78%,50%,4%,80%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of,<.5%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,2%,3%,2%,2%,1%,4%,3%,<.5%,1%,3%,<1%,3%,<1%,4%,<1%,2%,4%,1%,2%,2%,2%,<1%,5%,<1%,2%,12%,<.5%,2%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Favorable,42%,34%,50%,41%,42%,40%,51%,36%,68%,54%,56%,52%,36%,51%,26%,56%,62%,42%,46%,35%,49%,56%,46%,29%,83%,6%,17%,84%,6%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Unfavorable,55%,63%,47%,57%,56%,59%,46%,61%,31%,45%,40%,47%,60%,48%,70%,43%,36%,54%,53%,62%,49%,42%,53%,66%,16%,92%,71%,16%,92%,61%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
