itm,v1,likely_voters_likely_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(Recoded to age) In what year were you born?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,18-29,13%,13%,15%,12%,13%,12%,12%,13%,13%,100%,0%,0%,0%,11%,12%,25%,23%,10%,15%,10%,12%,11%,24%,14%,15%,10%,14%,11%,16%,11%
How satisfied are you with the way things are going in your life these days?,30-44,21%,20%,22%,22%,22%,22%,19%,21%,21%,0%,100%,0%,0%,20%,23%,25%,30%,27%,18%,25%,17%,33%,22%,24%,22%,18%,20%,21%,25%,19%
How satisfied are you with the way things are going in your life these days?,45-64,33%,31%,34%,32%,31%,33%,36%,32%,34%,0%,0%,100%,0%,33%,35%,32%,30%,35%,32%,35%,32%,37%,31%,31%,31%,37%,30%,36%,30%,31%
How satisfied are you with the way things are going in your life these days?,65+,28%,30%,24%,29%,27%,30%,30%,29%,28%,0%,0%,0%,100%,32%,24%,14%,11%,24%,31%,27%,36%,15%,18%,26%,28%,30%,31%,27%,20%,35%
How satisfied are you with the way things are going in your life these days?,Refused,5%,6%,5%,6%,6%,2%,2%,5%,4%,0%,0%,0%,0%,3%,5%,4%,7%,4%,4%,4%,3%,4%,5%,5%,5%,4%,4%,4%,9%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,33%,28%,72%,10%,9%,6%,37%,62%,28%,44%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,What is the highest educational level that you have completed?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Grade school,3%,4%,1%,3%,5%,2%,1%,3%,2%,1%,2%,2%,4%,2%,3%,9%,3%,0%,4%,0%,3%,0%,8%,3%,2%,3%,2%,3%,3%,2%
How satisfied are you with the way things are going in your life these days?,High school,27%,22%,27%,26%,26%,31%,30%,27%,27%,39%,21%,23%,30%,27%,26%,34%,26%,0%,44%,0%,44%,0%,44%,23%,23%,33%,24%,30%,28%,22%
How satisfied are you with the way things are going in your life these days?,Vocational or trade school,5%,4%,5%,4%,5%,5%,8%,5%,5%,3%,5%,6%,5%,5%,5%,6%,4%,0%,8%,0%,8%,0%,8%,5%,4%,6%,4%,6%,5%,3%
How satisfied are you with the way things are going in your life these days?,"Some college, no degree",17%,21%,16%,19%,21%,13%,14%,17%,18%,18%,14%,17%,19%,17%,19%,17%,18%,0%,28%,0%,28%,0%,28%,18%,18%,17%,14%,20%,17%,14%
How satisfied are you with the way things are going in your life these days?,Associate’s degree,10%,9%,9%,10%,10%,10%,11%,9%,10%,9%,11%,11%,9%,10%,9%,9%,5%,0%,16%,0%,17%,0%,12%,10%,9%,11%,9%,11%,8%,9%
How satisfied are you with the way things are going in your life these days?,Bachelor's degree,23%,24%,23%,22%,20%,23%,24%,23%,23%,23%,30%,24%,16%,24%,18%,15%,24%,61%,0%,63%,0%,55%,0%,25%,25%,19%,26%,20%,23%,26%
How satisfied are you with the way things are going in your life these days?,Graduate or professional degree,15%,15%,17%,15%,12%,16%,13%,14%,15%,5%,17%,16%,15%,14%,20%,7%,18%,39%,0%,37%,0%,45%,0%,16%,17%,10%,20%,10%,13%,22%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,1%,<1%,<1%,2%,2%,<.5%,<1%,<1%,<1%,<.5%,<.5%,<.5%,2%,<1%,<1%,2%,2%,0%,0%,0%,0%,0%,0%,<1%,1%,<1%,1%,<1%,2%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,33%,28%,72%,10%,9%,6%,37%,62%,28%,44%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Would you consider yourself:,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,White,71%,66%,58%,80%,58%,80%,85%,73%,70%,62%,67%,70%,81%,98%,0%,0%,0%,73%,70%,99%,98%,0%,0%,62%,68%,81%,66%,78%,55%,69%
How satisfied are you with the way things are going in your life these days?,Hispanic or Latino,8%,17%,5%,3%,19%,2%,4%,7%,10%,16%,10%,8%,4%,0%,0%,99%,0%,5%,10%,0%,0%,23%,39%,13%,9%,5%,9%,7%,11%,8%
How satisfied are you with the way things are going in your life these days?,Black or African American,10%,5%,27%,9%,7%,9%,4%,8%,12%,9%,11%,11%,9%,0%,100%,0%,0%,10%,10%,0%,0%,45%,38%,14%,11%,6%,16%,4%,14%,16%
How satisfied are you with the way things are going in your life these days?,Asian,2%,2%,<1%,2%,2%,1%,<1%,2%,1%,4%,2%,1%,<1%,0%,0%,0%,25%,3%,<1%,0%,0%,13%,3%,2%,2%,<1%,2%,1%,3%,2%
How satisfied are you with the way things are going in your life these days?,American Indian or Alaska Native,1%,3%,<1%,<.5%,2%,<.5%,<.5%,1%,<1%,2%,2%,1%,<.5%,0%,0%,0%,18%,<1%,1%,0%,0%,3%,5%,1%,<.5%,2%,1%,1%,<1%,1%
How satisfied are you with the way things are going in your life these days?,Middle Eastern or North African,<1%,<1%,<.5%,<1%,<1%,<1%,<.5%,<1%,<.5%,<1%,<1%,<1%,<.5%,0%,0%,0%,8%,<1%,<.5%,0%,0%,3%,2%,<.5%,<1%,<.5%,<.5%,<1%,<1%,<.5%
How satisfied are you with the way things are going in your life these days?,Native Hawaiian or Pacific Islander,<1%,<.5%,<1%,<.5%,2%,<.5%,<1%,<1%,<1%,<1%,<1%,<1%,<.5%,0%,0%,0%,11%,<1%,<1%,0%,0%,3%,3%,<1%,<1%,<1%,<.5%,<1%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Some other race (specify),3%,3%,3%,1%,3%,3%,2%,3%,2%,2%,3%,3%,2%,2%,<.5%,1%,17%,2%,3%,<1%,2%,5%,5%,3%,3%,2%,2%,3%,4%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] More than one race,1%,1%,2%,<1%,2%,1%,<1%,1%,1%,2%,2%,<1%,<1%,0%,0%,0%,21%,1%,1%,0%,0%,6%,5%,2%,1%,<1%,1%,1%,2%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,3%,2%,3%,4%,3%,3%,2%,3%,2%,<1%,2%,3%,2%,0%,0%,0%,0%,3%,2%,0%,0%,0%,0%,1%,3%,3%,2%,3%,7%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,33%,28%,72%,10%,9%,6%,37%,62%,28%,44%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.,Note: Responses to questions after this point are reported only for respondents who completed the entire questionnaire.
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Democrat,30%,27%,31%,30%,26%,36%,30%,23%,36%,30%,26%,29%,36%,25%,65%,38%,27%,35%,27%,32%,21%,47%,46%,36%,34%,22%,63%,3%,14%,68%
How satisfied are you with the way things are going in your life these days?,Republican,31%,32%,32%,28%,30%,36%,26%,32%,30%,18%,25%,34%,36%,37%,3%,20%,22%,25%,35%,29%,42%,13%,15%,24%,27%,39%,3%,59%,9%,3%
How satisfied are you with the way things are going in your life these days?,Independent,32%,35%,28%,34%,36%,23%,38%,38%,27%,41%,38%,31%,26%,32%,26%,32%,41%,33%,32%,33%,32%,33%,31%,33%,33%,32%,29%,32%,53%,26%
How satisfied are you with the way things are going in your life these days?,Another party,3%,3%,2%,3%,5%,3%,3%,4%,2%,6%,6%,2%,<.5%,3%,2%,3%,4%,3%,3%,3%,3%,3%,3%,3%,3%,3%,2%,3%,8%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,4%,3%,6%,5%,3%,2%,3%,3%,4%,6%,4%,4%,2%,3%,4%,7%,6%,4%,4%,3%,3%,4%,6%,4%,4%,3%,2%,3%,17%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Donald Trump,42%,45%,42%,38%,40%,42%,42%,48%,36%,21%,37%,48%,46%,49%,7%,26%,31%,33%,47%,38%,56%,17%,21%,32%,37%,53%,2%,81%,17%,2%
