itm,v1,georgia_likely_electorate_georgia_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dekalb_fulton,region_inner_atlanta_suburbs,region_north,region_outer_atlanta_suburbs,region_south,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,georgia_likely_electorate_2,men_5,women_3,x18_29_5,x30_44_0,x45_64_2,x65_3,white_1,black_3,oth_2,b_a_0,no_b_a_3,white_college_0,white_no_college_2,non_white_college_0,non_white_no_college_4,dekalb_fulton_1,inner_atlanta_suburbs_2,north_2,outer_atlanta_suburbs_2,south_2,city_3,suburb_1,rural_small_town_2,harris_2,trump_1,oth_4,dem_2,rep_2,ind_1
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Hurt people like you,43%,45%,41%,29%,29%,50%,53%,64%,7%,32%,38%,46%,52%,72%,17%,11%,19%,40%,67%,44%,43%,21%,35%,59%,1%,84%,20%,<1%,85%,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Wouldn't make much of a difference either way,16%,23%,10%,25%,24%,13%,9%,13%,16%,34%,18%,15%,13%,13%,24%,19%,20%,23%,13%,20%,8%,11%,22%,11%,17%,13%,39%,12%,11%,24%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",[VOL] Don't know/Refused,2%,3%,2%,<.5%,5%,2%,2%,1%,4%,1%,2%,3%,<1%,2%,3%,4%,1%,2%,2%,5%,1%,<.5%,4%,<1%,1%,1%,18%,<1%,2%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Society is better off if people make marriage and having children a priority,45%,55%,38%,34%,27%,50%,62%,48%,44%,34%,41%,48%,48%,49%,30%,48%,38%,43%,55%,37%,52%,44%,40%,51%,30%,62%,21%,36%,64%,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Society is just as well off if people have priorities other than marriage and children,47%,37%,56%,64%,65%,42%,31%,44%,50%,60%,54%,44%,47%,42%,64%,45%,57%,56%,31%,55%,40%,52%,52%,41%,66%,28%,60%,60%,29%,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,7%,8%,7%,3%,8%,8%,7%,8%,6%,6%,6%,8%,6%,10%,6%,6%,4%,2%,14%,9%,7%,4%,7%,8%,4%,9%,18%,4%,7%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Immigrants today strengthen our country because of their hard work and talents,53%,53%,53%,72%,66%,48%,39%,40%,71%,77%,66%,45%,55%,30%,82%,66%,68%,57%,37%,51%,53%,62%,58%,45%,85%,25%,43%,83%,24%,57%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?","Immigrants today are a burden on our country because they take our jobs, housing and health care",37%,32%,41%,26%,21%,41%,52%,47%,24%,17%,24%,45%,30%,58%,15%,27%,28%,36%,48%,33%,40%,36%,33%,43%,12%,61%,29%,15%,62%,33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,10%,15%,5%,2%,13%,11%,9%,13%,5%,5%,10%,9%,15%,12%,3%,7%,4%,7%,15%,16%,6%,2%,9%,13%,2%,14%,28%,2%,15%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",The U.S. has lost out from increased trade because it has cost jobs,50%,50%,49%,51%,49%,53%,47%,50%,46%,53%,43%,53%,43%,55%,44%,50%,47%,50%,56%,49%,47%,48%,50%,50%,34%,61%,74%,35%,59%,49%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",The U.S. has gained from increased trade because it has helped lower prices,35%,39%,31%,40%,34%,31%,37%,32%,41%,33%,40%,31%,41%,25%,39%,40%,39%,35%,26%,33%,38%,36%,37%,32%,51%,22%,18%,51%,22%,37%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,16%,11%,20%,9%,17%,16%,17%,18%,12%,14%,17%,15%,16%,20%,17%,10%,14%,14%,18%,18%,15%,16%,14%,18%,15%,17%,8%,14%,19%,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Society should accept transgender people as having the gender they identify with,52%,51%,53%,63%,57%,46%,54%,46%,60%,63%,56%,50%,52%,42%,61%,60%,69%,51%,41%,50%,50%,69%,54%,45%,75%,30%,58%,74%,27%,56%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Society should NOT accept transgender people as having the gender they identify with,37%,38%,36%,36%,33%,42%,34%,44%,27%,33%,33%,40%,37%,49%,27%,29%,23%,34%,51%,35%,41%,25%,30%,49%,17%,59%,10%,17%,63%,32%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,11%,11%,11%,1%,11%,12%,12%,10%,14%,4%,11%,10%,11%,10%,13%,11%,8%,14%,8%,15%,8%,6%,16%,6%,8%,11%,32%,9%,9%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",A great deal,32%,24%,39%,43%,37%,30%,25%,16%,59%,39%,34%,31%,21%,13%,54%,54%,47%,34%,18%,26%,35%,40%,36%,25%,57%,9%,31%,63%,5%,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",A fair amount,23%,28%,19%,27%,24%,24%,20%,24%,24%,15%,27%,21%,30%,20%,24%,21%,29%,23%,22%,21%,21%,29%,23%,22%,35%,13%,15%,27%,14%,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Not much,20%,23%,17%,21%,16%,17%,25%,24%,9%,26%,20%,19%,22%,25%,16%,12%,13%,20%,14%,28%,21%,21%,20%,18%,5%,33%,22%,6%,35%,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Not at all,22%,23%,21%,9%,16%,28%,24%,32%,5%,18%,16%,25%,24%,37%,4%,11%,7%,16%,44%,21%,21%,8%,15%,34%,2%,41%,9%,3%,44%,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",[VOL] Don't know/Refused,3%,3%,3%,<.5%,7%,<1%,6%,4%,3%,2%,3%,3%,4%,4%,3%,3%,4%,7%,2%,3%,2%,2%,5%,1%,<1%,3%,23%,<1%,2%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",NET Fair amount/Great deal,55%,51%,58%,70%,61%,54%,45%,40%,83%,53%,61%,52%,50%,34%,78%,74%,76%,57%,40%,47%,57%,69%,59%,47%,92%,23%,46%,90%,19%,59%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",NET Not much/Not at all,41%,45%,38%,30%,32%,45%,49%,56%,14%,44%,36%,45%,46%,63%,19%,23%,20%,36%,57%,49%,42%,29%,35%,52%,7%,74%,31%,9%,79%,36%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If country headed in wrong direction) Which statement comes closer to your view, even if neither is exactly right?",Our problems are so bad that America is in danger of failing as a nation,48%,46%,50%,49%,47%,45%,51%,60%,29%,39%,37%,55%,47%,69%,22%,36%,38%,43%,60%,51%,46%,39%,42%,57%,22%,71%,52%,22%,71%,48%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If country headed in wrong direction) Which statement comes closer to your view, even if neither is exactly right?","Our problems are bad, but America is not in danger of failing as a nation any time soon",19%,22%,17%,19%,17%,25%,14%,17%,22%,20%,22%,18%,18%,16%,27%,19%,18%,20%,18%,16%,23%,26%,19%,18%,18%,20%,18%,14%,24%,21%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If country headed in wrong direction) Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,1%,<.5%,1%,0%,<1%,<1%,2%,<1%,<1%,1%,1%,<.5%,2%,0%,1%,<1%,<1%,<.5%,2%,<1%,1%,2%,<.5%,1%,<1%,1%,<1%,<.5%,2%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If country headed in wrong direction) Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Country is on the right track,24%,25%,24%,24%,26%,21%,28%,17%,39%,24%,30%,21%,25%,11%,38%,35%,36%,25%,11%,23%,27%,26%,30%,17%,48%,4%,16%,54%,1%,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If country headed in wrong direction) Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,8%,7%,8%,8%,9%,8%,6%,5%,9%,16%,9%,6%,8%,4%,12%,9%,7%,12%,8%,9%,3%,7%,9%,6%,12%,3%,14%,10%,2%,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If country headed in wrong direction) Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Social media,20%,23%,19%,40%,27%,15%,12%,22%,17%,17%,17%,23%,15%,28%,19%,16%,16%,27%,24%,19%,18%,15%,22%,21%,15%,26%,20%,11%,22%,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Fox News,17%,19%,16%,13%,6%,22%,24%,24%,4%,20%,13%,20%,18%,29%,6%,8%,8%,17%,33%,18%,13%,5%,15%,24%,2%,32%,16%,2%,36%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"[VOL] National television networks, like CBS, NBC or ABC",10%,6%,13%,2%,12%,10%,14%,7%,17%,11%,7%,12%,6%,7%,8%,19%,7%,8%,7%,7%,18%,8%,8%,14%,18%,4%,9%,19%,5%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] CNN,9%,11%,8%,7%,13%,11%,5%,4%,19%,7%,10%,9%,5%,4%,19%,15%,12%,13%,2%,14%,6%,15%,10%,7%,15%,3%,16%,19%,2%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",8%,4%,10%,7%,4%,9%,9%,4%,14%,4%,3%,10%,4%,5%,2%,17%,14%,4%,0%,7%,11%,17%,7%,5%,10%,5%,12%,15%,6%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] MSNBC,4%,3%,6%,1%,1%,5%,7%,1%,10%,2%,5%,4%,4%,0%,8%,9%,12%,5%,<.5%,3%,2%,0%,8%,<1%,9%,0%,2%,12%,0%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",4%,5%,3%,7%,7%,2%,<.5%,5%,0%,9%,8%,<1%,9%,1%,6%,<.5%,9%,1%,2%,4%,2%,6%,5%,1%,7%,1%,0%,6%,<1%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Public Radio/NPR/PBS,3%,2%,4%,2%,7%,2%,1%,4%,1%,3%,6%,2%,7%,2%,4%,<1%,5%,4%,4%,1%,2%,3%,4%,1%,6%,<.5%,2%,7%,<.5%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",3%,4%,2%,3%,3%,3%,3%,1%,4%,9%,3%,3%,1%,1%,7%,5%,<1%,3%,4%,1%,5%,3%,3%,3%,5%,2%,3%,3%,<1%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Newsmax,2%,3%,2%,0%,<1%,2%,6%,4%,<1%,0%,3%,2%,5%,3%,0%,<1%,2%,<1%,3%,<1%,5%,3%,1%,4%,<.5%,5%,0%,<1%,7%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Conservative news sites,2%,2%,1%,2%,<1%,3%,<1%,3%,<.5%,0%,2%,1%,2%,3%,<1%,0%,0%,<1%,5%,2%,<.5%,0%,<1%,3%,<.5%,3%,0%,0%,3%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,2%,<1%,2%,<1%,2%,1%,2%,<.5%,0%,2%,1%,3%,2%,0%,<.5%,2%,2%,<1%,1%,1%,3%,2%,<.5%,2%,<1%,3%,<.5%,<1%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Talk radio/conservative personality,1%,1%,1%,1%,4%,1%,0%,2%,0%,0%,1%,1%,2%,2%,0%,0%,0%,0%,<.5%,2%,4%,0%,<1%,3%,0%,3%,0%,0%,3%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Friends and family,<.5%,<.5%,<.5%,<1%,1%,<.5%,0%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,<1%,0%,0%,<.5%,<1%,0%,<.5%,<1%,<.5%,<.5%,1%,<.5%,<.5%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<.5%,<1%,0%,0%,1%,<.5%,<.5%,<1%,<.5%,0%,<1%,<.5%,<1%,<1%,<.5%,0%,1%,<1%,0%,0%,0%,<1%,<1%,0%,<.5%,<.5%,<1%,0%,0%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Local print or online news organizations,<.5%,<.5%,0%,0%,0%,0%,<1%,<.5%,0%,0%,<.5%,0%,<1%,0%,0%,0%,0%,<1%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Doesn’t consume news,2%,<1%,3%,2%,<.5%,<.5%,4%,3%,<.5%,0%,3%,1%,4%,2%,0%,<.5%,2%,<1%,2%,2%,2%,2%,2%,2%,1%,2%,0%,1%,3%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Other (includes no preference and the internet),7%,8%,7%,3%,5%,8%,9%,6%,6%,14%,9%,6%,7%,6%,11%,6%,5%,8%,9%,7%,6%,15%,6%,6%,6%,8%,3%,3%,6%,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Don't know/Refused,4%,5%,4%,5%,6%,5%,<1%,5%,5%,2%,7%,3%,6%,4%,8%,2%,3%,3%,3%,9%,3%,4%,5%,4%,2%,6%,12%,1%,5%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,9%,6%,11%,12%,15%,5%,7%,8%,9%,10%,14%,5%,15%,4%,14%,6%,16%,8%,5%,11%,5%,10%,10%,7%,18%,<1%,<1%,19%,<1%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,13%,13%,14%,22%,12%,12%,11%,11%,16%,21%,11%,15%,7%,14%,18%,16%,15%,15%,14%,9%,14%,15%,14%,12%,24%,4%,11%,23%,4%,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,35%,33%,36%,31%,37%,43%,27%,30%,44%,37%,41%,32%,34%,27%,51%,38%,41%,43%,21%,41%,31%,30%,41%,30%,42%,25%,64%,40%,22%,46%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,19%,25%,13%,21%,15%,15%,26%,22%,12%,19%,14%,22%,22%,22%,2%,20%,13%,19%,22%,18%,21%,12%,18%,22%,4%,34%,4%,7%,30%,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,19%,18%,20%,12%,13%,21%,27%,26%,11%,10%,14%,22%,18%,31%,10%,12%,12%,12%,32%,16%,24%,23%,13%,26%,6%,34%,3%,6%,41%,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,5%,5%,5%,2%,8%,4%,4%,3%,8%,3%,5%,5%,5%,2%,5%,8%,4%,3%,6%,5%,6%,10%,5%,3%,6%,2%,17%,6%,2%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
