itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_miami_dade,region_north,region_orlando,region_rest,region_southeast,region_tampa,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs minor changes,27%,32%,23%,22%,23%,25%,34%,31%,25%,24%,16%,31%,23%,34%,23%,40%,25%,27%,19%,35%,10%,44%,24%,27%,29%,36%,20%,32%,34%,22%
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs major changes,57%,54%,59%,68%,60%,55%,53%,56%,51%,65%,64%,56%,60%,55%,58%,54%,57%,59%,61%,53%,63%,40%,57%,57%,62%,54%,58%,60%,55%,57%
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",The system needs to be torn down entirely,12%,10%,14%,9%,16%,15%,7%,9%,25%,6%,12%,9%,13%,8%,14%,2%,14%,14%,13%,4%,22%,12%,15%,11%,6%,8%,15%,8%,10%,14%
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",[VOL] Don't know/Refused,2%,2%,2%,0%,0%,<1%,3%,<1%,0%,4%,0%,<1%,2%,<1%,2%,1%,<1%,0%,4%,8%,3%,0%,0%,3%,<.5%,<.5%,3%,0%,<.5%,3%
"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",Crime in big cities has gotten out of control,52%,50%,54%,42%,49%,54%,57%,55%,44%,50%,50%,55%,48%,45%,57%,45%,61%,45%,50%,43%,64%,65%,58%,48%,39%,27%,70%,68%,28%,71%
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?","Crime is a major problem in big cities, but it’s not out of control",35%,36%,34%,50%,37%,34%,31%,33%,49%,38%,29%,33%,40%,42%,31%,41%,27%,43%,38%,44%,25%,29%,30%,39%,44%,57%,21%,11%,57%,20%
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",Crime is not a major problem in big cities,9%,9%,8%,8%,8%,9%,7%,8%,4%,9%,21%,8%,9%,11%,7%,11%,7%,11%,8%,5%,5%,6%,9%,13%,10%,13%,6%,0%,11%,6%
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",[VOL] Don't know/Refused,4%,5%,4%,0%,5%,3%,5%,4%,3%,4%,0%,4%,3%,3%,5%,3%,5%,<.5%,5%,8%,6%,0%,4%,0%,6%,3%,3%,22%,3%,2%
"Which comes closest to your view about crime in big cities in America, even if none are exactly right?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"Which statement comes closer to your view, even if neither is exactly right?",People who are offended by Donald Trump take his words too seriously,49%,52%,45%,47%,56%,53%,40%,56%,27%,37%,53%,56%,37%,38%,57%,41%,67%,34%,39%,39%,65%,31%,53%,40%,54%,7%,82%,28%,8%,82%
"Which statement comes closer to your view, even if neither is exactly right?",People have good reason to be offended by Donald Trump’s words,46%,42%,50%,52%,43%,44%,50%,39%,73%,58%,36%,39%,59%,59%,38%,57%,27%,61%,58%,53%,29%,67%,44%,59%,36%,91%,12%,62%,88%,13%
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,5%,6%,4%,2%,<1%,3%,10%,5%,0%,5%,10%,5%,4%,3%,6%,2%,7%,4%,4%,8%,5%,1%,3%,<.5%,11%,2%,7%,10%,4%,5%
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Strongly support,37%,44%,31%,17%,26%,47%,40%,41%,25%,23%,55%,41%,29%,32%,41%,31%,47%,33%,27%,31%,51%,19%,45%,33%,33%,11%,59%,10%,13%,57%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Somewhat support,26%,23%,29%,35%,31%,27%,21%,29%,23%,27%,13%,29%,23%,23%,29%,26%,31%,20%,26%,35%,22%,30%,19%,36%,29%,22%,30%,30%,16%,31%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Somewhat oppose,15%,15%,15%,25%,15%,11%,16%,13%,21%,18%,18%,13%,19%,23%,9%,26%,5%,20%,18%,10%,18%,23%,15%,12%,15%,27%,4%,39%,24%,5%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Strongly oppose,15%,13%,17%,23%,23%,10%,13%,12%,24%,17%,14%,12%,19%,18%,13%,13%,12%,24%,15%,17%,4%,20%,15%,15%,17%,32%,3%,4%,38%,1%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,[VOL] Don't know/Refused,6%,5%,8%,<.5%,5%,5%,10%,4%,7%,14%,0%,4%,9%,4%,8%,4%,4%,4%,14%,8%,6%,8%,7%,4%,6%,7%,5%,16%,9%,5%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,NET Support,64%,67%,60%,52%,57%,73%,61%,70%,48%,50%,68%,70%,53%,55%,70%,57%,79%,53%,53%,65%,72%,49%,64%,69%,62%,33%,88%,41%,30%,88%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,NET Oppose,30%,28%,32%,48%,38%,21%,29%,25%,45%,35%,32%,25%,38%,41%,23%,38%,17%,44%,33%,27%,22%,43%,29%,27%,32%,59%,7%,44%,61%,7%
Do you support or oppose deporting immigrants living in the United States illegally back to their home countries?,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
Has Donald Trump ever said anything that you found offensive?,"Yes, recently",39%,37%,41%,30%,33%,33%,52%,36%,55%,41%,46%,36%,47%,48%,33%,51%,26%,45%,48%,45%,33%,60%,32%,46%,36%,79%,9%,42%,78%,12%
Has Donald Trump ever said anything that you found offensive?,"Yes, but not recently",28%,27%,28%,37%,39%,23%,23%,30%,24%,22%,23%,30%,23%,25%,30%,27%,33%,22%,24%,11%,31%,32%,36%,19%,25%,12%,39%,35%,10%,37%
Has Donald Trump ever said anything that you found offensive?,No,30%,33%,27%,33%,29%,41%,18%,32%,16%,31%,26%,32%,25%,23%,34%,21%,39%,27%,23%,40%,28%,8%,30%,30%,34%,5%,50%,15%,4%,48%
Has Donald Trump ever said anything that you found offensive?,[VOL] Don’t know/Refused,4%,3%,4%,0%,0%,2%,8%,2%,5%,6%,5%,2%,6%,3%,3%,1%,2%,6%,5%,5%,7%,0%,2%,4%,6%,5%,2%,8%,8%,3%
Has Donald Trump ever said anything that you found offensive?,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Often,52%,51%,52%,65%,63%,55%,38%,49%,53%,56%,61%,49%,56%,43%,58%,35%,58%,54%,58%,47%,68%,39%,53%,49%,52%,31%,65%,77%,37%,62%
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Sometimes,21%,21%,20%,23%,20%,19%,21%,21%,18%,25%,19%,21%,21%,22%,20%,24%,18%,20%,23%,24%,20%,36%,17%,19%,18%,23%,20%,4%,22%,23%
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Rarely,13%,13%,14%,7%,11%,14%,17%,18%,6%,3%,10%,18%,6%,16%,12%,20%,17%,9%,3%,7%,5%,19%,15%,9%,17%,20%,8%,8%,13%,9%
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Never,12%,13%,12%,5%,6%,11%,20%,12%,22%,9%,10%,12%,14%,19%,8%,20%,6%,18%,11%,15%,3%,6%,12%,22%,12%,24%,5%,6%,25%,4%
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",[VOL] Don't know/Refused,2%,2%,2%,0%,1%,<.5%,3%,<1%,1%,6%,0%,<1%,3%,<.5%,2%,<1%,<1%,0%,6%,6%,3%,0%,2%,1%,0%,2%,1%,5%,3%,2%
"Thinking about the times you went grocery shopping in the last year, how often, if ever, did you cut back on what you bought because of what groceries cost?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",Voted more for Democrats,35%,27%,41%,34%,41%,29%,39%,27%,60%,41%,39%,27%,47%,42%,30%,37%,21%,48%,46%,41%,30%,38%,26%,51%,35%,68%,11%,15%,86%,9%
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",Voted more for Republicans,34%,35%,34%,26%,26%,40%,36%,46%,5%,16%,30%,46%,15%,28%,39%,37%,52%,15%,15%,32%,43%,20%,40%,21%,39%,4%,59%,12%,1%,67%
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",More of a mix,28%,33%,23%,28%,31%,30%,23%,25%,35%,32%,29%,25%,33%,30%,26%,25%,24%,37%,29%,15%,19%,38%,33%,26%,25%,25%,26%,69%,12%,20%
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",[VOL] Don’t know/Refused,3%,5%,2%,13%,1%,2%,2%,2%,<.5%,11%,2%,2%,6%,<.5%,5%,0%,3%,<.5%,10%,12%,8%,5%,1%,3%,<1%,3%,4%,5%,<1%,4%
"Regardless of how you vote today, thinking back to the times you have voted over the last decade or so, have you generally voted more for Democrats or more for Republicans, or has it been more of a mix?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
(Ask of Hispanic respondents)  What’s your family’s national origin?,Mexican,9%,7%,11%,12%,9%,3%,16%,0%,0%,10%,12%,0%,10%,12%,7%,0%,0%,13%,9%,17%,16%,2%,13%,4%,0%,15%,5%,0%,22%,5%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Cuban,28%,26%,30%,30%,25%,24%,36%,26%,2%,32%,11%,26%,28%,29%,28%,86%,10%,24%,31%,53%,25%,31%,10%,19%,19%,16%,35%,67%,19%,44%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Puerto Rican,26%,33%,19%,19%,31%,32%,15%,11%,21%,26%,43%,11%,28%,22%,28%,0%,14%,24%,31%,5%,0%,55%,23%,21%,44%,29%,24%,10%,31%,23%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Dominican,6%,2%,10%,6%,9%,0%,10%,6%,0%,7%,0%,6%,6%,4%,7%,0%,8%,4%,7%,3%,12%,2%,10%,5%,7%,8%,2%,17%,12%,0%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Central American,6%,6%,6%,5%,10%,6%,4%,9%,32%,4%,11%,9%,6%,8%,5%,10%,9%,7%,5%,8%,20%,0%,10%,4%,5%,7%,6%,0%,4%,3%
(Ask of Hispanic respondents)  What’s your family’s national origin?,[VOL] South American,11%,14%,8%,6%,5%,24%,0%,10%,0%,13%,0%,10%,11%,12%,10%,4%,12%,13%,10%,11%,6%,0%,8%,39%,0%,11%,11%,6%,4%,12%
(Ask of Hispanic respondents)  What’s your family’s national origin?,[VOL] Spanish,2%,<1%,3%,2%,0%,5%,0%,6%,0%,<.5%,9%,6%,2%,2%,2%,0%,8%,2%,1%,0%,0%,0%,3%,6%,4%,1%,3%,0%,0%,4%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Or is your heritage from other country (Specify) (Includes multiple origins),8%,11%,6%,14%,3%,3%,19%,27%,45%,3%,11%,27%,6%,5%,10%,0%,36%,6%,5%,0%,21%,9%,13%,0%,21%,11%,7%,0%,6%,3%
(Ask of Hispanic respondents)  What’s your family’s national origin?,[VOL] Don’t know/Refused,4%,1%,6%,6%,7%,2%,0%,3%,0%,4%,3%,3%,4%,6%,1%,0%,3%,7%,1%,4%,0%,1%,9%,2%,0%,<1%,6%,0%,<1%,7%
(Ask of Hispanic respondents)  What’s your family’s national origin?,Number of respondents,127,61,66,31,32,43,20,21,4,88,14,21,106,54,72,5,15,49,57,31,8,18,27,19,24,57,66,4,34,47
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",United States,49%,52%,47%,82%,74%,35%,24%,78%,79%,37%,82%,78%,45%,54%,46%,55%,86%,53%,38%,25%,65%,63%,59%,46%,61%,53%,49%,10%,67%,35%
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",Puerto Rico,17%,18%,15%,11%,6%,28%,14%,6%,21%,18%,18%,6%,18%,6%,24%,0%,8%,6%,27%,19%,0%,10%,14%,6%,35%,12%,21%,17%,6%,21%
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",Another country,32%,30%,35%,7%,13%,37%,62%,15%,0%,42%,0%,15%,35%,36%,30%,45%,6%,36%,35%,55%,35%,27%,20%,48%,4%,35%,26%,73%,26%,39%
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",[VOL] Don't know/Refused,2%,<.5%,4%,0%,7%,0%,0%,1%,0%,2%,0%,1%,2%,4%,0%,0%,0%,5%,0%,<1%,0%,0%,8%,0%,0%,0%,4%,0%,<1%,4%
"(Ask of Hispanic respondents)  Were you born in the United States, on the island of Puerto Rico, or in another country?",Number of respondents,127,61,66,31,32,43,20,21,4,88,14,21,106,54,72,5,15,49,57,31,8,18,27,19,24,57,66,4,34,47
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,0,30%,31%,28%,40%,28%,34%,3%,<1%,60%,42%,20%,<1%,37%,44%,18%,6%,0%,47%,27%,77%,38%,22%,6%,38%,29%,31%,29%,0%,29%,30%
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,1,19%,15%,24%,40%,12%,18%,0%,15%,0%,27%,5%,15%,21%,8%,28%,7%,16%,8%,33%,23%,0%,11%,25%,16%,22%,20%,17%,100%,24%,8%
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,2,51%,54%,48%,20%,61%,47%,97%,84%,40%,30%,74%,84%,42%,48%,54%,87%,84%,44%,40%,0%,62%,67%,69%,46%,48%,49%,54%,0%,46%,62%
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
(Ask of Hispanic respondents who said they were born in the United States)   How many of your parents were born in the United States?,Number of respondents,70,34,36,24,21,20,5,16,3,38,13,16,54,29,41,4,12,25,29,10,4,12,19,11,14,31,38,1,22,23
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,"Yes, Spanish",67%,61%,74%,70%,65%,64%,73%,45%,34%,80%,19%,45%,71%,65%,69%,86%,34%,63%,76%,99%,63%,66%,47%,60%,54%,74%,59%,100%,79%,67%
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,"Yes, another language",9%,13%,6%,6%,9%,16%,<.5%,7%,21%,6%,27%,7%,10%,13%,7%,0%,10%,14%,6%,0%,21%,<1%,9%,26%,16%,2%,17%,0%,0%,16%
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,No,22%,27%,17%,23%,18%,19%,27%,48%,45%,11%,54%,48%,18%,17%,24%,14%,57%,18%,17%,1%,16%,33%,37%,14%,30%,24%,21%,0%,21%,13%
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,[VOL] Don't know/Refused,2%,0%,4%,0%,7%,0%,0%,0%,0%,2%,0%,0%,2%,4%,0%,0%,0%,5%,0%,0%,0%,0%,8%,0%,0%,0%,4%,0%,0%,4%
(Ask of Hispanic respondents)  Do you speak a language other than English at home?,Number of respondents,127,61,66,31,32,43,20,21,4,88,14,21,106,54,72,5,15,49,57,31,8,18,27,19,24,57,66,4,34,47
Are you personally a small-business owner?,Yes,24%,31%,18%,15%,37%,31%,15%,22%,28%,25%,34%,22%,27%,26%,23%,22%,22%,33%,23%,18%,25%,26%,23%,29%,26%,15%,31%,36%,17%,25%
Are you personally a small-business owner?,No,75%,69%,81%,85%,61%,69%,85%,78%,72%,73%,66%,78%,71%,73%,77%,78%,78%,65%,77%,82%,75%,74%,76%,71%,74%,85%,68%,64%,83%,74%
Are you personally a small-business owner?,[VOL] Don't know/Refused,<.5%,<.5%,<1%,0%,2%,0%,0%,<.5%,0%,2%,0%,<.5%,1%,1%,0%,0%,0%,3%,0%,<.5%,0%,0%,1%,0%,0%,0%,<1%,0%,<.5%,1%
What single news source do you turn to most often?,[VOL] Social media,18%,20%,17%,35%,34%,18%,5%,14%,20%,24%,41%,14%,26%,17%,20%,12%,16%,25%,26%,25%,29%,15%,16%,14%,20%,16%,21%,6%,16%,19%
What single news source do you turn to most often?,[VOL] Fox News,18%,20%,16%,19%,10%,18%,24%,25%,10%,5%,5%,25%,6%,15%,21%,22%,26%,4%,9%,5%,18%,12%,21%,23%,18%,3%,31%,0%,3%,32%
What single news source do you turn to most often?,"[VOL] National television networks, like CBS, NBC or ABC",14%,12%,15%,9%,3%,15%,19%,14%,5%,20%,4%,14%,12%,12%,15%,10%,17%,13%,11%,11%,9%,24%,14%,6%,16%,21%,9%,0%,18%,11%
What single news source do you turn to most often?,[VOL] CNN,9%,7%,11%,7%,13%,11%,7%,6%,19%,16%,<1%,6%,14%,14%,6%,13%,2%,16%,13%,23%,7%,14%,5%,12%,6%,16%,3%,23%,18%,4%
What single news source do you turn to most often?,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",5%,8%,3%,3%,6%,6%,6%,6%,8%,3%,7%,6%,5%,10%,2%,10%,2%,9%,2%,1%,0%,3%,9%,7%,5%,7%,5%,0%,8%,2%
What single news source do you turn to most often?,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",4%,3%,4%,6%,3%,4%,2%,3%,<1%,9%,6%,3%,6%,4%,4%,4%,2%,3%,8%,<1%,3%,4%,3%,9%,3%,5%,2%,11%,6%,2%
What single news source do you turn to most often?,[VOL] MSNBC,3%,2%,4%,0%,1%,3%,7%,2%,17%,0%,2%,2%,6%,5%,2%,4%,<.5%,7%,6%,<.5%,2%,4%,2%,8%,4%,7%,<1%,0%,10%,<1%
What single news source do you turn to most often?,[VOL] Conservative news sites,3%,3%,3%,3%,6%,3%,2%,5%,0%,0%,4%,5%,<1%,3%,3%,4%,5%,2%,0%,9%,<1%,2%,2%,2%,4%,0%,6%,0%,0%,3%
What single news source do you turn to most often?,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",3%,3%,3%,<1%,2%,5%,3%,4%,5%,<.5%,0%,4%,2%,1%,4%,2%,5%,<1%,3%,3%,3%,0%,3%,4%,4%,4%,2%,10%,3%,2%
What single news source do you turn to most often?,[VOL] Public Radio/NPR/PBS,2%,3%,2%,<1%,3%,2%,2%,3%,0%,2%,4%,3%,2%,3%,2%,3%,2%,2%,1%,3%,0%,4%,2%,0%,3%,5%,0%,0%,4%,<1%
What single news source do you turn to most often?,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",2%,3%,1%,2%,2%,1%,3%,2%,2%,2%,1%,2%,2%,3%,1%,3%,2%,3%,<1%,0%,<1%,0%,1%,7%,2%,2%,1%,9%,2%,<.5%
What single news source do you turn to most often?,[VOL] Newsmax,1%,1%,1%,0%,2%,2%,1%,2%,0%,0%,0%,2%,0%,<1%,2%,2%,2%,0%,0%,0%,<1%,3%,3%,0%,0%,0%,2%,0%,0%,2%
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,1%,1%,1%,<1%,0%,<1%,<1%,<1%,0%,<.5%,5%,<1%,<1%,<1%,<1%,0%,<1%,2%,<.5%,<.5%,6%,0%,0%,0%,3%,0%,2%,0%,0%,3%
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<1%,1%,0%,0%,2%,<1%,<.5%,0%,4%,0%,3%,0%,2%,<.5%,1%,0%,0%,<1%,3%,0%,0%,0%,1%,2%,0%,2%,0%,0%,1%,0%
What single news source do you turn to most often?,[VOL] Local print or online news organizations,<.5%,0%,<1%,0%,0%,0%,<1%,<1%,0%,0%,0%,<1%,0%,<1%,0%,1%,0%,0%,0%,0%,2%,0%,0%,0%,<1%,<.5%,<.5%,0%,0%,0%
What single news source do you turn to most often?,[VOL] Friends and family,<.5%,<.5%,<1%,0%,<.5%,<1%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<1%,<.5%,0%,<.5%,0%,0%,0%,2%,0%,<1%,<.5%,0%,1%,<.5%
What single news source do you turn to most often?,[VOL] Doesn’t consume news,1%,<.5%,2%,1%,2%,<1%,<1%,<1%,4%,<1%,0%,<1%,2%,2%,<1%,<1%,<1%,3%,<1%,1%,2%,3%,<.5%,<1%,<1%,<1%,1%,0%,1%,<1%
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),6%,6%,5%,5%,2%,5%,9%,7%,2%,4%,5%,7%,4%,5%,6%,5%,8%,6%,2%,5%,5%,2%,11%,0%,3%,6%,5%,8%,4%,4%
What single news source do you turn to most often?,[VOL] Don't know/Refused,8%,7%,9%,8%,8%,3%,8%,6%,3%,14%,11%,6%,10%,4%,10%,4%,8%,5%,14%,11%,11%,9%,8%,4%,7%,3%,10%,33%,5%,14%
What single news source do you turn to most often?,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,6%,4%,8%,12%,7%,6%,3%,5%,<1%,8%,11%,5%,6%,9%,3%,9%,3%,8%,4%,10%,7%,5%,4%,5%,7%,13%,<.5%,0%,17%,<1%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,13%,10%,16%,18%,8%,13%,12%,10%,15%,23%,16%,10%,19%,13%,13%,14%,7%,11%,26%,15%,6%,29%,11%,11%,13%,21%,6%,23%,23%,9%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,40%,41%,39%,31%,50%,41%,38%,38%,59%,39%,26%,38%,44%,47%,35%,42%,35%,54%,35%,40%,36%,33%,42%,47%,36%,54%,29%,47%,48%,25%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,21%,24%,18%,21%,25%,20%,20%,24%,12%,16%,21%,24%,15%,15%,25%,17%,30%,13%,17%,15%,18%,16%,25%,13%,25%,6%,33%,4%,4%,33%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,17%,17%,17%,16%,5%,19%,22%,22%,8%,6%,18%,22%,9%,14%,19%,19%,24%,8%,10%,13%,28%,13%,15%,23%,17%,4%,28%,8%,7%,29%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,4%,5%,3%,2%,4%,<1%,5%,<1%,6%,8%,7%,<1%,7%,2%,4%,0%,1%,6%,8%,7%,6%,3%,4%,<1%,3%,2%,4%,18%,1%,4%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
Which of the following general income categories is your total household income before taxes?,"Under $25,000",8%,7%,9%,25%,2%,3%,11%,6%,12%,11%,7%,6%,11%,2%,12%,2%,9%,2%,18%,6%,10%,17%,7%,7%,6%,11%,5%,19%,12%,7%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",16%,13%,19%,21%,11%,16%,16%,18%,11%,15%,13%,18%,13%,7%,23%,6%,26%,8%,18%,17%,26%,12%,16%,9%,19%,14%,19%,9%,13%,19%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",32%,30%,34%,27%,41%,34%,30%,31%,41%,33%,34%,31%,36%,32%,33%,27%,34%,41%,31%,43%,21%,34%,36%,23%,32%,27%,36%,38%,31%,36%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",24%,29%,20%,11%,30%,27%,23%,24%,29%,19%,20%,24%,23%,31%,19%,32%,19%,30%,17%,16%,24%,18%,21%,35%,29%,27%,22%,19%,27%,19%
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",12%,14%,11%,8%,12%,18%,9%,15%,3%,8%,24%,15%,9%,21%,6%,27%,6%,14%,4%,9%,8%,13%,12%,23%,9%,14%,11%,5%,12%,13%
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,7%,8%,6%,7%,4%,3%,11%,5%,4%,14%,2%,5%,8%,6%,7%,6%,4%,6%,11%,9%,12%,5%,9%,3%,5%,7%,7%,11%,6%,6%
Which of the following general income categories is your total household income before taxes?,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,20%,22%,18%,11%,12%,24%,25%,16%,13%,37%,24%,16%,26%,24%,17%,20%,14%,30%,23%,28%,10%,22%,16%,32%,18%,18%,21%,15%,24%,22%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant/Christian,44%,41%,48%,43%,45%,46%,43%,45%,55%,34%,47%,45%,44%,36%,50%,36%,52%,38%,49%,30%,60%,54%,49%,30%,44%,32%,53%,63%,36%,57%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon/Latter-day Saints,1%,<.5%,2%,0%,0%,<1%,1%,2%,0%,0%,0%,2%,0%,1%,1%,2%,2%,0%,0%,0%,<1%,0%,<1%,0%,4%,<1%,2%,0%,1%,2%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,3%,2%,4%,1%,6%,1%,4%,5%,0%,0%,0%,5%,0%,4%,2%,6%,4%,0%,0%,13%,0%,1%,1%,6%,1%,3%,2%,8%,2%,1%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Muslim,<.5%,<1%,0%,0%,1%,0%,0%,0%,0%,0%,4%,0%,<1%,<1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%,0%,<.5%,0%,0%,0%
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Greek/Russian Orthodox,<1%,<1%,<.5%,0%,2%,<.5%,0%,<1%,0%,<1%,0%,<1%,<.5%,<.5%,<1%,<1%,<1%,0%,<1%,0%,0%,0%,<1%,0%,1%,<.5%,<1%,0%,0%,<1%
